Graduation_Completion_Index,Sch_Div
94.8,William Byrd High Roanoke County Public Schools
94.1,Northside High Roanoke County Public Schools
89.5,Lebanon High Russell County Public Schools
92.7,Castlewood High Russell County Public Schools
90.6,Honaker High Russell County Public Schools
85.8,Nandua High Accomack County Public Schools
100,Tangier Combined Accomack County Public Schools
82.1,Arcadia High Accomack County Public Schools
88.9,Chincoteague High Accomack County Public Schools
85.6,Alexandria City High School Alexandria City Public Schools
92.4,Grundy High Buchanan County Public Schools
90.4,Hurley High Buchanan County Public Schools
91.9,Twin Valley High Buchanan County Public Schools
90.7,William Campbell High Campbell County Public Schools
98.6,Rustburg High Campbell County Public Schools
87,Altavista High Campbell County Public Schools
95.7,Brookville High Campbell County Public Schools
88.4,Caroline High Caroline County Public Schools
93.1,Oscar F. Smith High Chesapeake City Public Schools
94,Western Branch High Chesapeake City Public Schools
96.7,Great Bridge High Chesapeake City Public Schools
98.2,Hickory High Chesapeake City Public Schools
90.6,Deep Creek High Chesapeake City Public Schools
97.6,Grassfield High Chesapeake City Public Schools
91.3,Indian River High Chesapeake City Public Schools
88.4,Culpeper County High Culpeper County Public Schools
84.7,Eastern View High Culpeper County Public Schools
93.9,Liberty High Fauquier County Public Schools
95.3,Fauquier High Fauquier County Public Schools
97.6,Kettle Run High Fauquier County Public Schools
95.1,Fluvanna County High Fluvanna County Public Schools
87.8,Franklin County High Franklin County Public Schools
94.1,Highland High Highland County Public Schools
85.6,Nottoway High Nottoway County Public Schools
88.2,Petersburg High Petersburg City Public Schools
79.2,Manor High Portsmouth City Public Schools
91.4,Churchland High Portsmouth City Public Schools
80.5,I.C. Norcom High Portsmouth City Public Schools
95.9,Powhatan High Powhatan County Public Schools
96.9,Rappahannock High Richmond County Public Schools
96.6,Colonial Forge High Stafford County Public Schools
96.2,Brooke Point High Stafford County Public Schools
93.9,North Stafford High Stafford County Public Schools
93.1,Stafford Senior High Stafford County Public Schools
96.9,Tazewell High Tazewell County Public Schools
88.6,Graham High Tazewell County Public Schools
96.2,Richlands High Tazewell County Public Schools
86.9,John Handley High Winchester City Public Schools
97.9,Western Albemarle High Albemarle County Public Schools
93.5,Monticello High Albemarle County Public Schools
90.3,Community Lab School Albemarle County Public Schools
94.5,Albemarle High Albemarle County Public Schools
93.9,Washington-Liberty High Arlington County Public Schools
93.6,Wakefield High Arlington County Public Schools
96.6,Yorktown High Arlington County Public Schools
78.7,Arlington Community High Arlington County Public Schools
97.6,James River High Botetourt County Public Schools
94.2,Lord Botetourt High Botetourt County Public Schools
90.1,Brunswick High Brunswick County Public Schools
91.2,Parry McCluer High Buena Vista City Public Schools
93.1,Randolph-Henry High Charlotte County Public Schools
89.1,Ridgeview High Dickenson County Public Schools
90.4,Dinwiddie County High Dinwiddie County Public Schools
95.3,James Wood High Frederick County Public Schools
96.3,Sherando High Frederick County Public Schools
92.9,Millbrook High Frederick County Public Schools
96.7,Goochland High Goochland County Public Schools
92.6,Lancaster High Lancaster County Public Schools
91.6,Central High Lunenburg County Public Schools
94,Middlesex High Middlesex County Public Schools
92.9,Appomattox County High Appomattox County Public Schools
90,Buckingham County High Buckingham County Public Schools
89.3,Cumberland High Cumberland County Public Schools
99.1,Meridian High Falls Church City Public Schools
91.8,Gloucester High Gloucester County Public Schools
86.7,Harrisonburg High Harrisonburg City Public Schools
83.2,Martinsville High Martinsville City Public Schools
97.4,Auburn High Montgomery County Public Schools
93.1,Eastern Montgomery High Montgomery County Public Schools
98.6,Blacksburg High Montgomery County Public Schools
94.2,Christiansburg High Montgomery County Public Schools
94.6,Warwick High Newport News City Public Schools
98.6,Menchville High Newport News City Public Schools
96.2,Heritage High Newport News City Public Schools
97.8,Woodside High Newport News City Public Schools
98.6,Denbigh High Newport News City Public Schools
85.6,Rockbridge County High Rockbridge County Public Schools
93.8,Spotswood High Rockingham County Public Schools
96,Broadway High Rockingham County Public Schools
94.9,East Rockingham High Rockingham County Public Schools
94.5,Turner Ashby High Rockingham County Public Schools
99.8,Strasburg High Shenandoah County Public Schools
98.3,Central High Shenandoah County Public Schools
94.1,Mountain View High Shenandoah County Public Schools
92.1,John S. Battle High Washington County Public Schools
90.6,Abingdon High Washington County Public Schools
95.9,Patrick Henry High Washington County Public Schools
95.4,Holston High Washington County Public Schools
81,Greensville County High Greensville County Public Schools
93,King George High King George County Public Schools
90.2,Manassas Park High Manassas Park City Public Schools
89.9,Northampton High Northampton County Public Schools
88.4,Southampton High Southampton County Public Schools
89.9,Covington High Alleghany Highlands Public Schools
90.6,Alleghany High Alleghany Highlands Public Schools
91.4,Charles City County High Charles City County Public Schools
54.9,Carver College and Career Academy Chesterfield County Public Schools
99,Cosby High Chesterfield County Public Schools
94.2,Thomas Dale High Chesterfield County Public Schools
93,Matoaca High Chesterfield County Public Schools
95.7,Monacan High Chesterfield County Public Schools
93.8,Manchester High Chesterfield County Public Schools
95.1,Clover Hill High Chesterfield County Public Schools
91.9,Lloyd C. Bird High Chesterfield County Public Schools
82.1,Meadowbrook High Chesterfield County Public Schools
95.3,James River High Chesterfield County Public Schools
98.5,Midlothian High Chesterfield County Public Schools
84.4,James Monroe High Fredericksburg City Public Schools
92.6,King William High King William County Public Schools
91.1,Gretna High Pittsylvania County Public Schools
88.2,Chatham High Pittsylvania County Public Schools
90.1,Tunstall High Pittsylvania County Public Schools
91.3,Dan River High Pittsylvania County Public Schools
97,Rappahannock County High Rappahannock County Public Schools
92.6,Courtland High Spotsylvania County Public Schools
93,Chancellor High Spotsylvania County Public Schools
89.1,Spotsylvania High Spotsylvania County Public Schools
89.3,Massaponax High Spotsylvania County Public Schools
98.6,Floyd Kellam High Virginia Beach City Public Schools
93,Landstown High Virginia Beach City Public Schools
95.9,Tallwood High Virginia Beach City Public Schools
96.1,Salem High Virginia Beach City Public Schools
95.5,Frank W. Cox High Virginia Beach City Public Schools
95.8,First Colonial High Virginia Beach City Public Schools
94.4,Bayside High Virginia Beach City Public Schools
94.4,Green Run High Virginia Beach City Public Schools
94.9,Princess Anne High Virginia Beach City Public Schools
95.8,Kempsville High Virginia Beach City Public Schools
97.4,Ocean Lakes High Virginia Beach City Public Schools
100,Green Run Collegiate Virginia Beach City Public Schools
96.1,Westmoreland High Westmoreland County Public Schools
90.6,Charlottesville High Charlottesville City Public Schools
95.6,Smithfield High Isle of Wight County Public Schools
94.6,Windsor High Isle of Wight County Public Schools
80.9,Prince Edward County High Prince Edward County Public Schools
89.2,Prince George High Prince George County Public Schools
91.1,Colonial Heights High Colonial Heights City Public Schools
93.9,Central High King and Queen County Public Schools
95.1,Northumberland High Northumberland County Public Schools
89.3,Potomac High Prince William County Public Schools
92.7,Osbourn Park High Prince William County Public Schools
98.1,Charles J. Colgan Sr. High Prince William County Public Schools
96.6,Brentsville District High Prince William County Public Schools
87.8,Gar-Field High Prince William County Public Schools
95.7,C.D. Hylton High Prince William County Public Schools
95.7,Forest Park High Prince William County Public Schools
,Gainesville High Prince William County Public Schools
97.7,Patriot High Prince William County Public Schools
84.6,Unity Reed High Prince William County Public Schools
91.9,Woodbridge High Prince William County Public Schools
95.4,Lafayette High Williamsburg-James City County Public Schools
97.1,Warhill High Williamsburg-James City County Public Schools
96.4,Jamestown High Williamsburg-James City County Public Schools
