Gender,Total Count,Sch_Div
Female,376,Brookfield Elementary Fairfax County Public Schools
Male,364,Brookfield Elementary Fairfax County Public Schools
Female,68,Bryant High Fairfax County Public Schools
Male,72,Bryant High Fairfax County Public Schools
Female,121,Bucknell Elementary Fairfax County Public Schools
Male,140,Bucknell Elementary Fairfax County Public Schools
Female,58,Bull Run Early Childhood Resource Center Fairfax County Public Schools
Male,113,Bull Run Early Childhood Resource Center Fairfax County Public Schools
Female,350,Bull Run Elementary Fairfax County Public Schools
Male,368,Bull Run Elementary Fairfax County Public Schools
Female,325,Bush Hill Elementary Fairfax County Public Schools
Male,313,Bush Hill Elementary Fairfax County Public Schools
Female,281,Camelot Elementary Fairfax County Public Schools
Male,307,Camelot Elementary Fairfax County Public Schools
Female,234,Cameron Elementary Fairfax County Public Schools
Male,258,Cameron Elementary Fairfax County Public Schools
Female,405,Canterbury Woods Elementary Fairfax County Public Schools
Male,377,Canterbury Woods Elementary Fairfax County Public Schools
Other,1,Canterbury Woods Elementary Fairfax County Public Schools
Female,302,Cardinal Forest Elementary Fairfax County Public Schools
Male,285,Cardinal Forest Elementary Fairfax County Public Schools
Female,672,Carson Middle Fairfax County Public Schools
Male,775,Carson Middle Fairfax County Public Schools
Other,2,Carson Middle Fairfax County Public Schools
Female,335,Centre Ridge Elementary Fairfax County Public Schools
Male,367,Centre Ridge Elementary Fairfax County Public Schools
Female,367,Centreville Elementary Fairfax County Public Schools
Male,425,Centreville Elementary Fairfax County Public Schools
Female,"1,237",Centreville High Fairfax County Public Schools
Male,"1,351",Centreville High Fairfax County Public Schools
Other,2,Centreville High Fairfax County Public Schools
Female,"1,366",Chantilly High Fairfax County Public Schools
Male,"1,596",Chantilly High Fairfax County Public Schools
Other,3,Chantilly High Fairfax County Public Schools
Female,212,Cherry Run Elementary Fairfax County Public Schools
Male,215,Cherry Run Elementary Fairfax County Public Schools
Female,271,Chesterbrook Elementary Fairfax County Public Schools
Male,306,Chesterbrook Elementary Fairfax County Public Schools
Other,1,Chesterbrook Elementary Fairfax County Public Schools
Female,311,Churchill Road Elementary Fairfax County Public Schools
Male,308,Churchill Road Elementary Fairfax County Public Schools
Female,275,Clearview Elementary Fairfax County Public Schools
Male,324,Clearview Elementary Fairfax County Public Schools
Female,278,Clermont Elementary Fairfax County Public Schools
Male,262,Clermont Elementary Fairfax County Public Schools
Female,370,Coates Elementary Fairfax County Public Schools
Male,392,Coates Elementary Fairfax County Public Schools
Other,1,Coates Elementary Fairfax County Public Schools
Female,189,Columbia Elementary Fairfax County Public Schools
Male,221,Columbia Elementary Fairfax County Public Schools
Female,363,Colvin Run Elementary Fairfax County Public Schools
Male,408,Colvin Run Elementary Fairfax County Public Schools
Female,474,Cooper Middle Fairfax County Public Schools
Male,527,Cooper Middle Fairfax County Public Schools
Female,270,Crestwood Elementary Fairfax County Public Schools
Male,296,Crestwood Elementary Fairfax County Public Schools
Female,263,Crossfield Elementary Fairfax County Public Schools
Male,303,Crossfield Elementary Fairfax County Public Schools
Female,257,Cub Run Elementary Fairfax County Public Schools
Male,312,Cub Run Elementary Fairfax County Public Schools
Female,205,Cunningham Park Elementary Fairfax County Public Schools
Male,222,Cunningham Park Elementary Fairfax County Public Schools
Female,368,Daniels Run Elementary Fairfax County Public Schools
Male,409,Daniels Run Elementary Fairfax County Public Schools
Female,266,Deer Park Elementary Fairfax County Public Schools
Male,299,Deer Park Elementary Fairfax County Public Schools
Other,1,Deer Park Elementary Fairfax County Public Schools
Female,325,Dogwood Elementary Fairfax County Public Schools
Male,329,Dogwood Elementary Fairfax County Public Schools
Female,269,Dranesville Elementary Fairfax County Public Schools
Male,348,Dranesville Elementary Fairfax County Public Schools
Female,79,Dunn Loring Early Childhood Resource Center Fairfax County Public Schools
Male,103,Dunn Loring Early Childhood Resource Center Fairfax County Public Schools
Female,287,Eagle View Elementary Fairfax County Public Schools
Male,309,Eagle View Elementary Fairfax County Public Schools
Female,"1,024",Edison High Fairfax County Public Schools
Male,"1,162",Edison High Fairfax County Public Schools
Other,6,Edison High Fairfax County Public Schools
Female,68,Fairfax County Adult High Fairfax County Public Schools
Male,74,Fairfax County Adult High Fairfax County Public Schools
Female,"1,095",Fairfax High Fairfax County Public Schools
Male,"1,212",Fairfax High Fairfax County Public Schools
Other,1,Fairfax High Fairfax County Public Schools
Female,228,Fairfax Villa Elementary Fairfax County Public Schools
Male,286,Fairfax Villa Elementary Fairfax County Public Schools
Female,244,Fairhill Elementary Fairfax County Public Schools
Male,282,Fairhill Elementary Fairfax County Public Schools
Female,358,Fairview Elementary Fairfax County Public Schools
Male,362,Fairview Elementary Fairfax County Public Schools
Female,933,Falls Church High Fairfax County Public Schools
Male,"1,053",Falls Church High Fairfax County Public Schools
Other,2,Falls Church High Fairfax County Public Schools
Female,299,Flint Hill Elementary Fairfax County Public Schools
Male,347,Flint Hill Elementary Fairfax County Public Schools
Female,340,Floris Elementary Fairfax County Public Schools
Male,370,Floris Elementary Fairfax County Public Schools
Female,229,Forest Edge Elementary Fairfax County Public Schools
Male,247,Forest Edge Elementary Fairfax County Public Schools
Female,235,Forestdale Elementary Fairfax County Public Schools
Male,286,Forestdale Elementary Fairfax County Public Schools
Female,272,Forestville Elementary Fairfax County Public Schools
Male,289,Forestville Elementary Fairfax County Public Schools
Female,337,Fort Belvoir Elementary Fairfax County Public Schools
Male,380,Fort Belvoir Elementary Fairfax County Public Schools
Female,313,Fort Belvoir Upper Elementary Fairfax County Public Schools
Male,357,Fort Belvoir Upper Elementary Fairfax County Public Schools
Female,280,Fort Hunt Elementary Fairfax County Public Schools
Male,227,Fort Hunt Elementary Fairfax County Public Schools
Female,268,Fox Mill Elementary Fairfax County Public Schools
Male,315,Fox Mill Elementary Fairfax County Public Schools
Female,288,Franconia Elementary Fairfax County Public Schools
Male,245,Franconia Elementary Fairfax County Public Schools
Female,431,Franklin Middle Fairfax County Public Schools
Male,448,Franklin Middle Fairfax County Public Schools
Other,1,Franklin Middle Fairfax County Public Schools
Female,244,Freedom Hill Elementary Fairfax County Public Schools
Male,250,Freedom Hill Elementary Fairfax County Public Schools
Female,587,Frost Middle Fairfax County Public Schools
Male,626,Frost Middle Fairfax County Public Schools
Female,167,Garfield Elementary Fairfax County Public Schools
Male,153,Garfield Elementary Fairfax County Public Schools
Other,1,Garfield Elementary Fairfax County Public Schools
Female,868,Glasgow Middle Fairfax County Public Schools
Male,970,Glasgow Middle Fairfax County Public Schools
Other,1,Glasgow Middle Fairfax County Public Schools
Female,419,Glen Forest Elementary Fairfax County Public Schools
Male,460,Glen Forest Elementary Fairfax County Public Schools
Female,175,Graham Road Elementary Fairfax County Public Schools
Male,212,Graham Road Elementary Fairfax County Public Schools
Female,246,Great Falls Elementary Fairfax County Public Schools
Male,279,Great Falls Elementary Fairfax County Public Schools
Female,456,Greenbriar East Elementary Fairfax County Public Schools
Male,462,Greenbriar East Elementary Fairfax County Public Schools
Other,1,Greenbriar East Elementary Fairfax County Public Schools
Female,326,Greenbriar West Elementary Fairfax County Public Schools
Male,308,Greenbriar West Elementary Fairfax County Public Schools
Other,1,Greenbriar West Elementary Fairfax County Public Schools
Female,370,Groveton Elementary Fairfax County Public Schools
Male,383,Groveton Elementary Fairfax County Public Schools
Female,256,Gunston Elementary Fairfax County Public Schools
Male,280,Gunston Elementary Fairfax County Public Schools
Female,301,Halley Elementary Fairfax County Public Schools
Male,292,Halley Elementary Fairfax County Public Schools
Female,447,Haycock Elementary Fairfax County Public Schools
Male,443,Haycock Elementary Fairfax County Public Schools
Female,317,Hayfield Elementary Fairfax County Public Schools
Male,343,Hayfield Elementary Fairfax County Public Schools
Female,"1,489",Hayfield Secondary Fairfax County Public Schools
Male,"1,605",Hayfield Secondary Fairfax County Public Schools
Other,4,Hayfield Secondary Fairfax County Public Schools
Female,348,Herndon Elementary Fairfax County Public Schools
Male,414,Herndon Elementary Fairfax County Public Schools
Other,1,Herndon Elementary Fairfax County Public Schools
Female,"1,077",Herndon High Fairfax County Public Schools
Male,"1,241",Herndon High Fairfax County Public Schools
Other,2,Herndon High Fairfax County Public Schools
Female,512,Herndon Middle Fairfax County Public Schools
Male,562,Herndon Middle Fairfax County Public Schools
Other,1,Herndon Middle Fairfax County Public Schools
Female,298,Hollin Meadows Elementary Fairfax County Public Schools
Male,319,Hollin Meadows Elementary Fairfax County Public Schools
Female,440,Holmes Middle Fairfax County Public Schools
Male,477,Holmes Middle Fairfax County Public Schools
Female,466,Hughes Middle Fairfax County Public Schools
Male,507,Hughes Middle Fairfax County Public Schools
Other,3,Hughes Middle Fairfax County Public Schools
Female,300,Hunt Valley Elementary Fairfax County Public Schools
Male,367,Hunt Valley Elementary Fairfax County Public Schools
Female,368,Hunters Woods Elementary School for the Arts and Sciences Fairfax County Public Schools
Male,367,Hunters Woods Elementary School for the Arts and Sciences Fairfax County Public Schools
Female,557,Hutchison Elementary Fairfax County Public Schools
Male,510,Hutchison Elementary Fairfax County Public Schools
Female,440,Hybla Valley Elementary Fairfax County Public Schools
Male,448,Hybla Valley Elementary Fairfax County Public Schools
Female,580,Irving Middle Fairfax County Public Schools
Male,646,Irving Middle Fairfax County Public Schools
Other,3,Irving Middle Fairfax County Public Schools
Female,360,Island Creek Elementary Fairfax County Public Schools
Male,350,Island Creek Elementary Fairfax County Public Schools
Female,516,Jackson Middle Fairfax County Public Schools
Male,582,Jackson Middle Fairfax County Public Schools
Female,486,Johnson Middle Fairfax County Public Schools
Male,589,Johnson Middle Fairfax County Public Schools
Female,"1,055",Justice High Fairfax County Public Schools
Male,"1,169",Justice High Fairfax County Public Schools
Other,3,Justice High Fairfax County Public Schools
Female,354,Keene Mill Elementary Fairfax County Public Schools
Male,399,Keene Mill Elementary Fairfax County Public Schools
Female,510,Kent Gardens Elementary Fairfax County Public Schools
Male,514,Kent Gardens Elementary Fairfax County Public Schools
Female,19,Key Center Fairfax County Public Schools
Male,44,Key Center Fairfax County Public Schools
Female,358,Key Middle Fairfax County Public Schools
Male,387,Key Middle Fairfax County Public Schools
Female,21,Kilmer Center Fairfax County Public Schools
Male,32,Kilmer Center Fairfax County Public Schools
Female,538,Kilmer Middle Fairfax County Public Schools
Male,593,Kilmer Middle Fairfax County Public Schools
Other,3,Kilmer Middle Fairfax County Public Schools
Female,196,Kings Glen Elementary Fairfax County Public Schools
Male,193,Kings Glen Elementary Fairfax County Public Schools
Female,320,Kings Park Elementary Fairfax County Public Schools
Male,297,Kings Park Elementary Fairfax County Public Schools
Female,299,Lake Anne Elementary Fairfax County Public Schools
Male,264,Lake Anne Elementary Fairfax County Public Schools
Female,"2,098",Lake Braddock Secondary Fairfax County Public Schools
Male,"2,272",Lake Braddock Secondary Fairfax County Public Schools
Other,11,Lake Braddock Secondary Fairfax County Public Schools
Female,368,Lane Elementary Fairfax County Public Schools
Male,349,Lane Elementary Fairfax County Public Schools
Female,996,Langley High Fairfax County Public Schools
Male,"1,053",Langley High Fairfax County Public Schools
Female,324,Laurel Hill Elementary Fairfax County Public Schools
Male,392,Laurel Hill Elementary Fairfax County Public Schools
Female,380,Laurel Ridge Elementary Fairfax County Public Schools
Male,402,Laurel Ridge Elementary Fairfax County Public Schools
Female,309,Lees Corner Elementary Fairfax County Public Schools
Male,309,Lees Corner Elementary Fairfax County Public Schools
Female,238,Lemon Road Elementary Fairfax County Public Schools
Male,270,Lemon Road Elementary Fairfax County Public Schools
Female,805,Lewis High Fairfax County Public Schools
Male,899,Lewis High Fairfax County Public Schools
Other,2,Lewis High Fairfax County Public Schools
Female,497,Liberty Middle Fairfax County Public Schools
Male,494,Liberty Middle Fairfax County Public Schools
Female,121,Little Run Elementary Fairfax County Public Schools
Male,174,Little Run Elementary Fairfax County Public Schools
Female,360,London Towne Elementary Fairfax County Public Schools
Male,406,London Towne Elementary Fairfax County Public Schools
Female,617,Longfellow Middle Fairfax County Public Schools
Male,650,Longfellow Middle Fairfax County Public Schools
Other,2,Longfellow Middle Fairfax County Public Schools
Female,389,Lorton Station Elementary Fairfax County Public Schools
Male,365,Lorton Station Elementary Fairfax County Public Schools
Female,300,Lynbrook Elementary Fairfax County Public Schools
Male,290,Lynbrook Elementary Fairfax County Public Schools
Female,"1,101",Madison High Fairfax County Public Schools
Male,"1,111",Madison High Fairfax County Public Schools
Other,1,Madison High Fairfax County Public Schools
Female,470,Mantua Elementary Fairfax County Public Schools
Male,473,Mantua Elementary Fairfax County Public Schools
Female,941,Marshall High Fairfax County Public Schools
Male,"1,128",Marshall High Fairfax County Public Schools
Other,4,Marshall High Fairfax County Public Schools
Female,313,Marshall Road Elementary Fairfax County Public Schools
Male,352,Marshall Road Elementary Fairfax County Public Schools
Female,292,Mason Crest Elementary Fairfax County Public Schools
Male,322,Mason Crest Elementary Fairfax County Public Schools
Female,"1,161",McLean High Fairfax County Public Schools
Male,"1,204",McLean High Fairfax County Public Schools
Other,3,McLean High Fairfax County Public Schools
Female,254,McNair Elementary Fairfax County Public Schools
Male,297,McNair Elementary Fairfax County Public Schools
Female,312,McNair Upper Elementary Fairfax County Public Schools
Male,314,McNair Upper Elementary Fairfax County Public Schools
Female,430,Mosaic Elementary Fairfax County Public Schools
Male,467,Mosaic Elementary Fairfax County Public Schools
Female,145,Mount Eagle Elementary Fairfax County Public Schools
Male,186,Mount Eagle Elementary Fairfax County Public Schools
Female,949,Mount Vernon High Fairfax County Public Schools
Male,"1,019",Mount Vernon High Fairfax County Public Schools
Female,296,Mount Vernon Woods Elementary Fairfax County Public Schools
Male,313,Mount Vernon Woods Elementary Fairfax County Public Schools
Female,71,Mountain View High Fairfax County Public Schools
Male,82,Mountain View High Fairfax County Public Schools
Other,1,Mountain View High Fairfax County Public Schools
Female,438,Navy Elementary Fairfax County Public Schools
Male,473,Navy Elementary Fairfax County Public Schools
Female,263,Newington Forest Elementary Fairfax County Public Schools
Male,277,Newington Forest Elementary Fairfax County Public Schools
Female,218,North Springfield Elementary Fairfax County Public Schools
Male,238,North Springfield Elementary Fairfax County Public Schools
Female,322,Oak Hill Elementary Fairfax County Public Schools
Male,361,Oak Hill Elementary Fairfax County Public Schools
Female,378,Oak View Elementary Fairfax County Public Schools
Male,402,Oak View Elementary Fairfax County Public Schools
Female,346,Oakton Elementary Fairfax County Public Schools
Male,403,Oakton Elementary Fairfax County Public Schools
Female,"1,255",Oakton High Fairfax County Public Schools
Male,"1,380",Oakton High Fairfax County Public Schools
Other,3,Oakton High Fairfax County Public Schools
Female,163,Olde Creek Elementary Fairfax County Public Schools
Male,176,Olde Creek Elementary Fairfax County Public Schools
Female,489,Orange Hunt Elementary Fairfax County Public Schools
Male,443,Orange Hunt Elementary Fairfax County Public Schools
Female,412,Parklawn Elementary Fairfax County Public Schools
Male,402,Parklawn Elementary Fairfax County Public Schools
Female,12,Pimmit Early Childhood Resource Center Fairfax County Public Schools
Male,27,Pimmit Early Childhood Resource Center Fairfax County Public Schools
Female,306,Pine Spring Elementary Fairfax County Public Schools
Male,314,Pine Spring Elementary Fairfax County Public Schools
Female,418,Poe Middle Fairfax County Public Schools
Male,453,Poe Middle Fairfax County Public Schools
Female,303,Poplar Tree Elementary Fairfax County Public Schools
Male,345,Poplar Tree Elementary Fairfax County Public Schools
Female,426,Powell Elementary Fairfax County Public Schools
Male,457,Powell Elementary Fairfax County Public Schools
Female,421,Providence Elementary Fairfax County Public Schools
Male,479,Providence Elementary Fairfax County Public Schools
Female,280,Ravensworth Elementary Fairfax County Public Schools
Male,320,Ravensworth Elementary Fairfax County Public Schools
Female,343,Riverside Elementary Fairfax County Public Schools
Male,360,Riverside Elementary Fairfax County Public Schools
Female,"1,840",Robinson Secondary Fairfax County Public Schools
Male,"1,856",Robinson Secondary Fairfax County Public Schools
Other,3,Robinson Secondary Fairfax County Public Schools
Female,486,Rocky Run Middle Fairfax County Public Schools
Male,529,Rocky Run Middle Fairfax County Public Schools
Other,2,Rocky Run Middle Fairfax County Public Schools
Female,286,Rolling Valley Elementary Fairfax County Public Schools
Male,296,Rolling Valley Elementary Fairfax County Public Schools
Female,306,Rose Hill Elementary Fairfax County Public Schools
Male,343,Rose Hill Elementary Fairfax County Public Schools
Female,749,Sandburg Middle Fairfax County Public Schools
Male,772,Sandburg Middle Fairfax County Public Schools
Female,424,Sangster Elementary Fairfax County Public Schools
Male,459,Sangster Elementary Fairfax County Public Schools
Other,1,Sangster Elementary Fairfax County Public Schools
Female,277,Saratoga Elementary Fairfax County Public Schools
Male,322,Saratoga Elementary Fairfax County Public Schools
Other,1,Saratoga Elementary Fairfax County Public Schools
Female,164,Sherman Elementary Fairfax County Public Schools
Male,186,Sherman Elementary Fairfax County Public Schools
Female,333,Shrevewood Elementary Fairfax County Public Schools
Male,346,Shrevewood Elementary Fairfax County Public Schools
Female,379,Silverbrook Elementary Fairfax County Public Schools
Male,409,Silverbrook Elementary Fairfax County Public Schools
Female,208,Sleepy Hollow Elementary Fairfax County Public Schools
Male,232,Sleepy Hollow Elementary Fairfax County Public Schools
Other,1,Sleepy Hollow Elementary Fairfax County Public Schools
Female,"1,121",South County High Fairfax County Public Schools
Male,"1,177",South County High Fairfax County Public Schools
Other,1,South County High Fairfax County Public Schools
Female,477,South County Middle Fairfax County Public Schools
Male,497,South County Middle Fairfax County Public Schools
Female,"1,204",South Lakes High Fairfax County Public Schools
Male,"1,364",South Lakes High Fairfax County Public Schools
Other,16,South Lakes High Fairfax County Public Schools
Female,414,Spring Hill Elementary Fairfax County Public Schools
Male,421,Spring Hill Elementary Fairfax County Public Schools
Female,307,Springfield Estates Elementary Fairfax County Public Schools
Male,275,Springfield Estates Elementary Fairfax County Public Schools
Female,264,Stenwood Elementary Fairfax County Public Schools
Male,263,Stenwood Elementary Fairfax County Public Schools
Female,374,Stone Middle Fairfax County Public Schools
Male,323,Stone Middle Fairfax County Public Schools
Other,3,Stone Middle Fairfax County Public Schools
Female,336,Stratford Landing Elementary Fairfax County Public Schools
Male,398,Stratford Landing Elementary Fairfax County Public Schools
Female,259,Sunrise Valley Elementary Fairfax County Public Schools
Male,277,Sunrise Valley Elementary Fairfax County Public Schools
Other,3,Sunrise Valley Elementary Fairfax County Public Schools
Female,291,Terra Centre Elementary Fairfax County Public Schools
Male,321,Terra Centre Elementary Fairfax County Public Schools
Female,268,Terraset Elementary Fairfax County Public Schools
Male,325,Terraset Elementary Fairfax County Public Schools
Female,804,Thomas Jefferson High for Science and Technology Fairfax County Public Schools
Male,"1,098",Thomas Jefferson High for Science and Technology Fairfax County Public Schools
Other,2,Thomas Jefferson High for Science and Technology Fairfax County Public Schools
Female,574,Thoreau Middle Fairfax County Public Schools
Male,595,Thoreau Middle Fairfax County Public Schools
Other,1,Thoreau Middle Fairfax County Public Schools
Female,281,Timber Lane Elementary Fairfax County Public Schools
Male,323,Timber Lane Elementary Fairfax County Public Schools
Female,496,Twain Middle Fairfax County Public Schools
Male,516,Twain Middle Fairfax County Public Schools
Female,415,Union Mill Elementary Fairfax County Public Schools
Male,452,Union Mill Elementary Fairfax County Public Schools
Female,154,Vienna Elementary Fairfax County Public Schools
Male,199,Vienna Elementary Fairfax County Public Schools
Female,71,Virginia Hills Early Childhood Resource Center Fairfax County Public Schools
Male,140,Virginia Hills Early Childhood Resource Center Fairfax County Public Schools
Female,337,Virginia Run Elementary Fairfax County Public Schools
Male,343,Virginia Run Elementary Fairfax County Public Schools
Female,305,Wakefield Forest Elementary Fairfax County Public Schools
Male,354,Wakefield Forest Elementary Fairfax County Public Schools
Female,408,Waples Mill Elementary Fairfax County Public Schools
Male,428,Waples Mill Elementary Fairfax County Public Schools
Female,285,Washington Mill Elementary Fairfax County Public Schools
Male,271,Washington Mill Elementary Fairfax County Public Schools
Female,326,Waynewood Elementary Fairfax County Public Schools
Male,336,Waynewood Elementary Fairfax County Public Schools
Female,"1,326",West Potomac High Fairfax County Public Schools
Male,"1,363",West Potomac High Fairfax County Public Schools
Female,270,West Springfield Elementary Fairfax County Public Schools
Male,306,West Springfield Elementary Fairfax County Public Schools
Female,"1,254",West Springfield High Fairfax County Public Schools
Male,"1,316",West Springfield High Fairfax County Public Schools
Other,8,West Springfield High Fairfax County Public Schools
Female,384,Westbriar Elementary Fairfax County Public Schools
Male,402,Westbriar Elementary Fairfax County Public Schools
Female,"1,277",Westfield High Fairfax County Public Schools
Male,"1,370",Westfield High Fairfax County Public Schools
Other,2,Westfield High Fairfax County Public Schools
Female,265,Westgate Elementary Fairfax County Public Schools
Male,298,Westgate Elementary Fairfax County Public Schools
Other,1,Westgate Elementary Fairfax County Public Schools
Female,371,Westlawn Elementary Fairfax County Public Schools
Male,385,Westlawn Elementary Fairfax County Public Schools
Female,265,Weyanoke Elementary Fairfax County Public Schools
Male,284,Weyanoke Elementary Fairfax County Public Schools
Female,356,White Oaks Elementary Fairfax County Public Schools
Male,363,White Oaks Elementary Fairfax County Public Schools
Female,398,Whitman Middle Fairfax County Public Schools
Male,482,Whitman Middle Fairfax County Public Schools
Female,448,Willow Springs Elementary Fairfax County Public Schools
Male,464,Willow Springs Elementary Fairfax County Public Schools
Female,269,Wolftrap Elementary Fairfax County Public Schools
Male,276,Wolftrap Elementary Fairfax County Public Schools
Female,221,Woodburn Elementary Fairfax County Public Schools
Male,257,Woodburn Elementary Fairfax County Public Schools
Other,1,Woodburn Elementary Fairfax County Public Schools
Female,240,Woodlawn Elementary Fairfax County Public Schools
Male,255,Woodlawn Elementary Fairfax County Public Schools
Female,249,Woodley Hills Elementary Fairfax County Public Schools
Male,253,Woodley Hills Elementary Fairfax County Public Schools
Female,"1,182",Woodson High Fairfax County Public Schools
Male,"1,301",Woodson High Fairfax County Public Schools
Other,7,Woodson High Fairfax County Public Schools
Female,24,Jessie Thackrey  Preschool Falls Church City Public Schools
Male,30,Jessie Thackrey  Preschool Falls Church City Public Schools
Female,286,Mary Ellen Henderson Middle Falls Church City Public Schools
Male,300,Mary Ellen Henderson Middle Falls Church City Public Schools
Female,417,Meridian High Falls Church City Public Schools
Male,431,Meridian High Falls Church City Public Schools
Other,1,Meridian High Falls Church City Public Schools
Female,233,Mount Daniel Elementary Falls Church City Public Schools
Male,253,Mount Daniel Elementary Falls Church City Public Schools
Female,249,Oak Street Elementary Falls Church City Public Schools
Male,269,Oak Street Elementary Falls Church City Public Schools
Female,275,Auburn Middle Fauquier County Public Schools
Male,311,Auburn Middle Fauquier County Public Schools
Female,236,C. Hunter Ritchie Elementary Fauquier County Public Schools
Male,254,C. Hunter Ritchie Elementary Fauquier County Public Schools
Female,172,C.M. Bradley Elementary Fauquier County Public Schools
Male,174,C.M. Bradley Elementary Fauquier County Public Schools
Female,291,Cedar Lee Middle Fauquier County Public Schools
Male,343,Cedar Lee Middle Fauquier County Public Schools
Female,134,Claude Thompson Elementary Fauquier County Public Schools
Male,125,Claude Thompson Elementary Fauquier County Public Schools
Female,597,Fauquier High Fauquier County Public Schools
Male,628,Fauquier High Fauquier County Public Schools
Other,1,Fauquier High Fauquier County Public Schools
Female,246,Grace Miller Elementary Fauquier County Public Schools
Male,260,Grace Miller Elementary Fauquier County Public Schools
Female,252,Greenville Elementary Fauquier County Public Schools
Male,242,Greenville Elementary Fauquier County Public Schools
Female,159,H.M. Pearson Elementary Fauquier County Public Schools
Male,214,H.M. Pearson Elementary Fauquier County Public Schools
Female,239,James G. Brumfield Elementary Fauquier County Public Schools
Male,258,James G. Brumfield Elementary Fauquier County Public Schools
Female,547,Kettle Run High Fauquier County Public Schools
Male,614,Kettle Run High Fauquier County Public Schools
Female,639,Liberty High Fauquier County Public Schools
Male,714,Liberty High Fauquier County Public Schools
Female,250,Margaret M. Pierce Elementary Fauquier County Public Schools
Male,273,Margaret M. Pierce Elementary Fauquier County Public Schools
Female,215,Marshall Middle Fauquier County Public Schools
Male,216,Marshall Middle Fauquier County Public Schools
Female,203,Mary Walter Elementary Fauquier County Public Schools
Male,214,Mary Walter Elementary Fauquier County Public Schools
Female,190,P.B. Smith Elementary Fauquier County Public Schools
Male,234,P.B. Smith Elementary Fauquier County Public Schools
Female,219,W.C. Taylor Middle Fauquier County Public Schools
Male,236,W.C. Taylor Middle Fauquier County Public Schools
Female,157,W.G. Coleman Elementary Fauquier County Public Schools
Male,161,W.G. Coleman Elementary Fauquier County Public Schools
Female,184,Warrenton Middle Fauquier County Public Schools
Male,197,Warrenton Middle Fauquier County Public Schools
Female,128,Check Elementary Floyd County Public Schools
Male,137,Check Elementary Floyd County Public Schools
Female,363,Floyd County High Floyd County Public Schools
Male,395,Floyd County High Floyd County Public Schools
Female,225,Floyd Elementary Floyd County Public Schools
Male,231,Floyd Elementary Floyd County Public Schools
Female,44,Indian Valley Elementary Floyd County Public Schools
Male,75,Indian Valley Elementary Floyd County Public Schools
Female,95,Willis Elementary Floyd County Public Schools
Male,83,Willis Elementary Floyd County Public Schools
Female,201,Carysbrook Elementary Fluvanna County Public Schools
Male,248,Carysbrook Elementary Fluvanna County Public Schools
Female,214,Central Elementary Fluvanna County Public Schools
Male,196,Central Elementary Fluvanna County Public Schools
Female,729,Fluvanna County High Fluvanna County Public Schools
Male,724,Fluvanna County High Fluvanna County Public Schools
Female,358,Fluvanna Middle Fluvanna County Public Schools
Male,390,Fluvanna Middle Fluvanna County Public Schools
Other,1,Fluvanna Middle Fluvanna County Public Schools
Female,123,West Central Primary Fluvanna County Public Schools
Male,132,West Central Primary Fluvanna County Public Schools
Female,125,Franklin High Franklin City Public Schools
Male,172,Franklin High Franklin City Public Schools
Female,112,Joseph P. King Jr. Middle Franklin City Public Schools
Male,118,Joseph P. King Jr. Middle Franklin City Public Schools
Female,234,S.P. Morton Elementary Franklin City Public Schools
Male,231,S.P. Morton Elementary Franklin City Public Schools
Female,753,Benjamin Franklin Middle Franklin County Public Schools
Male,742,Benjamin Franklin Middle Franklin County Public Schools
Female,142,Boones Mill Elementary Franklin County Public Schools
Male,135,Boones Mill Elementary Franklin County Public Schools
Female,111,Burnt Chimney Elementary Franklin County Public Schools
Male,140,Burnt Chimney Elementary Franklin County Public Schools
Female,99,Callaway Elementary Franklin County Public Schools
Male,67,Callaway Elementary Franklin County Public Schools
Female,102,Dudley Elementary Franklin County Public Schools
Male,127,Dudley Elementary Franklin County Public Schools
Female,115,Ferrum Elementary Franklin County Public Schools
Male,100,Ferrum Elementary Franklin County Public Schools
Female,944,Franklin County High Franklin County Public Schools
Male,981,Franklin County High Franklin County Public Schools
Female,110,Glade Hill Elementary Franklin County Public Schools
Male,108,Glade Hill Elementary Franklin County Public Schools
Female,70,Henry Elementary Franklin County Public Schools
Male,91,Henry Elementary Franklin County Public Schools
Female,189,Lee M. Waid Elementary Franklin County Public Schools
Male,197,Lee M. Waid Elementary Franklin County Public Schools
Female,136,Rocky Mount Elementary Franklin County Public Schools
Male,148,Rocky Mount Elementary Franklin County Public Schools
Other,6,Rocky Mount Elementary Franklin County Public Schools
Female,94,Snow Creek Elementary Franklin County Public Schools
Male,112,Snow Creek Elementary Franklin County Public Schools
Female,105,Sontag Elementary Franklin County Public Schools
Male,114,Sontag Elementary Franklin County Public Schools
Female,154,Windy Gap Elementary Franklin County Public Schools
Male,128,Windy Gap Elementary Franklin County Public Schools
Female,376,Admiral Richard E. Byrd Middle Frederick County Public Schools
Male,430,Admiral Richard E. Byrd Middle Frederick County Public Schools
Female,204,Apple Pie Ridge Elementary Frederick County Public Schools
Male,218,Apple Pie Ridge Elementary Frederick County Public Schools
Female,303,Armel Elementary Frederick County Public Schools
Male,330,Armel Elementary Frederick County Public Schools
Female,280,Bass-Hoover Elementary Frederick County Public Schools
Male,301,Bass-Hoover Elementary Frederick County Public Schools
Female,244,Evendale Elementary Frederick County Public Schools
Male,265,Evendale Elementary Frederick County Public Schools
Female,389,Frederick County Middle Frederick County Public Schools
