Gender,Total Count,Sch_Div
Male,257,Mountain View Elementary Alleghany County Public Schools
Female,91,Sharon Elementary Alleghany County Public Schools
Male,100,Sharon Elementary Alleghany County Public Schools
Female,339,Amelia County Elementary Amelia County Public Schools
Male,402,Amelia County Elementary Amelia County Public Schools
Female,253,Amelia County High Amelia County Public Schools
Male,240,Amelia County High Amelia County Public Schools
Female,205,Amelia County Middle Amelia County Public Schools
Male,196,Amelia County Middle Amelia County Public Schools
Female,188,Amelon Elementary Amherst County Public Schools
Male,246,Amelon Elementary Amherst County Public Schools
Female,595,Amherst County High Amherst County Public Schools
Male,622,Amherst County High Amherst County Public Schools
Female,114,Amherst Elementary Amherst County Public Schools
Male,119,Amherst Elementary Amherst County Public Schools
Female,206,Amherst Middle Amherst County Public Schools
Male,172,Amherst Middle Amherst County Public Schools
Female,146,Central Elementary Amherst County Public Schools
Male,186,Central Elementary Amherst County Public Schools
Female,150,Elon Elementary Amherst County Public Schools
Male,190,Elon Elementary Amherst County Public Schools
Female,193,Madison Heights Elementary Amherst County Public Schools
Male,188,Madison Heights Elementary Amherst County Public Schools
Female,255,Monelison Middle Amherst County Public Schools
Male,305,Monelison Middle Amherst County Public Schools
Female,48,Temperance Elementary Amherst County Public Schools
Male,47,Temperance Elementary Amherst County Public Schools
Female,356,Appomattox County High Appomattox County Public Schools
Male,340,Appomattox County High Appomattox County Public Schools
Female,232,Appomattox Elementary Appomattox County Public Schools
Male,269,Appomattox Elementary Appomattox County Public Schools
Female,290,Appomattox Middle Appomattox County Public Schools
Male,253,Appomattox Middle Appomattox County Public Schools
Female,292,Appomattox Primary Appomattox County Public Schools
Male,306,Appomattox Primary Appomattox County Public Schools
Female,310,Abingdon Elementary Arlington County Public Schools
Male,396,Abingdon Elementary Arlington County Public Schools
Female,283,Alice West Fleet Elementary Arlington County Public Schools
Male,301,Alice West Fleet Elementary Arlington County Public Schools
Female,88,Arlington Community High Arlington County Public Schools
Male,88,Arlington Community High Arlington County Public Schools
Other,1,Arlington Community High Arlington County Public Schools
Female,198,Arlington Science Focus School Arlington County Public Schools
Male,258,Arlington Science Focus School Arlington County Public Schools
Female,327,Arlington Traditional Arlington County Public Schools
Male,341,Arlington Traditional Arlington County Public Schools
Female,242,Ashlawn Elementary Arlington County Public Schools
Male,298,Ashlawn Elementary Arlington County Public Schools
Female,214,Barcroft Elementary Arlington County Public Schools
Male,226,Barcroft Elementary Arlington County Public Schools
Female,245,Barrett Elementary Arlington County Public Schools
Male,282,Barrett Elementary Arlington County Public Schools
Other,1,Barrett Elementary Arlington County Public Schools
Female,218,Campbell Elementary Arlington County Public Schools
Male,208,Campbell Elementary Arlington County Public Schools
Female,336,Cardinal Elementary Arlington County Public Schools
Male,322,Cardinal Elementary Arlington County Public Schools
Female,256,Carlin Springs Elementary Arlington County Public Schools
Male,288,Carlin Springs Elementary Arlington County Public Schools
Female,321,Claremont Immersion Arlington County Public Schools
Male,357,Claremont Immersion Arlington County Public Schools
Female,237,Discovery Elementary Arlington County Public Schools
Male,276,Discovery Elementary Arlington County Public Schools
Female,456,Dorothy Hamm Middle Arlington County Public Schools
Male,467,Dorothy Hamm Middle Arlington County Public Schools
Other,2,Dorothy Hamm Middle Arlington County Public Schools
Female,203,Dr. Charles R. Drew Elementary Arlington County Public Schools
Male,250,Dr. Charles R. Drew Elementary Arlington County Public Schools
Female,321,Escuela Key Elementary Arlington County Public Schools
Male,303,Escuela Key Elementary Arlington County Public Schools
Other,1,Escuela Key Elementary Arlington County Public Schools
Female,262,Glebe Elementary Arlington County Public Schools
Male,277,Glebe Elementary Arlington County Public Schools
Female,587,Gunston Middle Arlington County Public Schools
Male,596,Gunston Middle Arlington County Public Schools
Other,2,Gunston Middle Arlington County Public Schools
Female,252,Hoffman-Boston Elementary Arlington County Public Schools
Male,314,Hoffman-Boston Elementary Arlington County Public Schools
Female,223,Innovation Elementary Arlington County Public Schools
Male,181,Innovation Elementary Arlington County Public Schools
Female,10,Integration Station Arlington County Public Schools
Male,21,Integration Station Arlington County Public Schools
Female,260,Jamestown Elementary Arlington County Public Schools
Male,238,Jamestown Elementary Arlington County Public Schools
Female,454,Jefferson Middle Arlington County Public Schools
Male,471,Jefferson Middle Arlington County Public Schools
Female,483,Kenmore Middle Arlington County Public Schools
Male,542,Kenmore Middle Arlington County Public Schools
Other,3,Kenmore Middle Arlington County Public Schools
Female,205,Long Branch Elementary Arlington County Public Schools
Male,199,Long Branch Elementary Arlington County Public Schools
Female,252,Montessori Public School of Arlington Arlington County Public Schools
Male,245,Montessori Public School of Arlington Arlington County Public Schools
Female,182,Nottingham Elementary Arlington County Public Schools
Male,224,Nottingham Elementary Arlington County Public Schools
Female,302,Oakridge Elementary Arlington County Public Schools
Male,318,Oakridge Elementary Arlington County Public Schools
Female,196,Randolph Elementary Arlington County Public Schools
Male,228,Randolph Elementary Arlington County Public Schools
Female,461,Swanson Middle Arlington County Public Schools
Male,501,Swanson Middle Arlington County Public Schools
Female,227,Taylor Elementary Arlington County Public Schools
Male,286,Taylor Elementary Arlington County Public Schools
Female,192,Tuckahoe Elementary Arlington County Public Schools
Male,239,Tuckahoe Elementary Arlington County Public Schools
Female,"1,329",Wakefield High Arlington County Public Schools
Male,"1,435",Wakefield High Arlington County Public Schools
Other,3,Wakefield High Arlington County Public Schools
Female,"1,288",Washington-Liberty High Arlington County Public Schools
Male,"1,262",Washington-Liberty High Arlington County Public Schools
Other,1,Washington-Liberty High Arlington County Public Schools
Female,401,Williamsburg Middle Arlington County Public Schools
Male,439,Williamsburg Middle Arlington County Public Schools
Female,"1,222",Yorktown High Arlington County Public Schools
Male,"1,310",Yorktown High Arlington County Public Schools
Other,1,Yorktown High Arlington County Public Schools
Female,285,Beverley Manor Middle Augusta County Public Schools
Male,331,Beverley Manor Middle Augusta County Public Schools
Female,204,Buffalo Gap High Augusta County Public Schools
Male,248,Buffalo Gap High Augusta County Public Schools
Female,328,Cassell Elementary Augusta County Public Schools
Male,343,Cassell Elementary Augusta County Public Schools
Female,188,Churchville Elementary Augusta County Public Schools
Male,211,Churchville Elementary Augusta County Public Schools
Female,74,Craigsville Elementary Augusta County Public Schools
Male,60,Craigsville Elementary Augusta County Public Schools
Female,360,Edward G. Clymore Elementary Augusta County Public Schools
Male,369,Edward G. Clymore Elementary Augusta County Public Schools
Female,360,Fort Defiance High Augusta County Public Schools
Male,366,Fort Defiance High Augusta County Public Schools
Female,225,Guy K. Stump Elementary Augusta County Public Schools
Male,204,Guy K. Stump Elementary Augusta County Public Schools
Female,117,North River Elementary Augusta County Public Schools
Male,121,North River Elementary Augusta County Public Schools
Female,356,Riverheads Elementary Augusta County Public Schools
Male,343,Riverheads Elementary Augusta County Public Schools
Female,204,Riverheads High Augusta County Public Schools
Male,273,Riverheads High Augusta County Public Schools
Female,257,S. Gordon Stewart Middle Augusta County Public Schools
Male,253,S. Gordon Stewart Middle Augusta County Public Schools
Female,280,Stuarts Draft Elementary Augusta County Public Schools
Male,278,Stuarts Draft Elementary Augusta County Public Schools
Female,336,Stuarts Draft High Augusta County Public Schools
Male,375,Stuarts Draft High Augusta County Public Schools
Female,214,Stuarts Draft Middle Augusta County Public Schools
Male,250,Stuarts Draft Middle Augusta County Public Schools
Female,337,Wilson Elementary Augusta County Public Schools
Male,324,Wilson Elementary Augusta County Public Schools
Female,413,Wilson Memorial High Augusta County Public Schools
Male,410,Wilson Memorial High Augusta County Public Schools
Female,300,Wilson Middle Augusta County Public Schools
Male,334,Wilson Middle Augusta County Public Schools
Female,96,Bath County High Bath County Public Schools
Male,92,Bath County High Bath County Public Schools
Female,81,Millboro Elementary Bath County Public Schools
Male,60,Millboro Elementary Bath County Public Schools
Female,81,Valley Elementary Bath County Public Schools
Male,92,Valley Elementary Bath County Public Schools
Female,205,Bedford Elementary Bedford County Public Schools
Male,218,Bedford Elementary Bedford County Public Schools
Female,144,Bedford Primary Bedford County Public Schools
Male,131,Bedford Primary Bedford County Public Schools
Female,74,Big Island Elementary Bedford County Public Schools
Male,72,Big Island Elementary Bedford County Public Schools
Female,167,Boonsboro Elementary Bedford County Public Schools
