Sch_Div,Economically_Disadvantaged_No_Total_Count,Economically_Disadvantaged_Yes_Total_Count,English_Learners_No_Total_Count,English_Learners_Yes_Total_Count,Foster_Care_No_Total_Count,Foster_Care_Yes_Total_Count,Homeless_No_Total_Count,Homeless_Yes_Total_Count,Disabled_No_Total_Count,Disabled_Yes_Total_Count,Gender_Female_Total_Count,Gender_Male_Total_Count,Gender_Other_Total_Count,Race_American_Indian_Or_Alaska_Native_Percentage,Race_Asian_Percentage,Race_Black_Not_Of_Hispanic_Origin_Percentage,Race_Hispanic_Percentage,Native Hawaiian  or Pacific Islander,Race_Non_Hispanic_Two_Or_More_Races_Percentage,Race_White_Not_Of_Hispanic_Origin_Percentage,Teachers_Bachelors_Degree_Percentage,Teachers_Doctoral_Degree_Percentage,Teachers_Masters_Degree_Percentage,Free_And_Reduced_Lunch_Percent_Eligible,Total_Per_Pupil_Expenditures,Total_Expenditures,Number_of_Students_Missing_10__or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Poverty_Level,Title1_Code,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,Graduation_Completion_Index
Culpeper County High Culpeper County Public Schools,705,497,"1,052",128,"1,197",5,"1,198",,"1,074",128,596,606,0,0.332778702,1.830282862,11.73044925,26.37271215,0.166389351,5.324459235,54.24292845,48,3,48,35.8,12261,14493019,479,1185,40.42,Medium Poverty,Non-Title I,8.5,7.7,1.7,88.4
Cumberland High Cumberland County Public Schools,169,202,361,,368,3,371,,325,46,171,200,0,0.0,0.269541779,37.73584906,5.121293801,0.0,7.008086253,49.86522911,40,2,56,71.0,15193,5566918,106,377,28.12,High Poverty,Non-Title I,4.9,2.4,0.0,89.3
Dan River High Pittsylvania County Public Schools,318,310,620,,620,8,627,,524,104,301,327,0,0.0,0.477707006,30.57324841,3.343949045,0.0,3.025477707,62.57961783,50,0,46,56.5,12221,7362236,158,599,26.38,Medium Poverty,Non-Title I,1.4,7.2,0.0,91.3
Deep Creek High Chesapeake City Public Schools,847,791,"1,582",46,"1,636",2,"1,637",,"1,349",289,851,784,3,0.305250305,2.808302808,39.68253968,12.21001221,0.244200244,8.424908425,36.32478632,36,2,59,46.0,14008,22351858,323,1602,20.16,Medium Poverty,Non-Title I,0.0,0.0,0.0,90.6
Deep Run High Henrico County Public Schools,"1,811",215,"1,965",28,"2,024",2,"2,023",,"1,860",166,920,"1,106",0,0.0,27.24580454,7.650542942,5.528134255,0.098716683,4.392892399,55.08390918,39,2,57,7.5,10092,19178963,182,2031,8.96,Low Poverty,Non-Title I,0.9,1.8,0.0,98.8
Denbigh High Newport News City Public Schools,427,784,"1,012",171,"1,211",,"1,192",19,992,219,502,705,4,0.082576383,2.477291495,50.04128819,21.63501239,0.247729149,5.615194055,19.90090834,32,1,54,76.4,15423,18064760,328,1180,27.8,High Poverty,Non-Title I,5.4,12.6,5.4,98.6
Dinwiddie County High Dinwiddie County Public Schools,512,785,"1,273",15,"1,292",5,"1,294",,"1,097",200,624,673,0,0.077101002,0.539707016,34.69545104,7.478797224,0.154202005,4.703161141,52.35158057,53,2,44,42.7,12042,15103272,471,1278,36.85,Medium Poverty,Non-Title I,9.6,5.3,2.1,90.4
Dominion High Loudoun County Public Schools,917,565,"1,250",199,"1,482",,"1,442",40,"1,314",168,689,790,3,0.607287449,15.45209177,5.600539811,35.35762483,0.067476383,4.318488529,38.59649123,22,4,72,30.2,19749,29263920,316,1463,21.6,Low Poverty,Non-Title I,7.1,1.3,0.6,96.1
Douglas S. Freeman High Henrico County Public Schools,"1,191",655,"1,650",148,"1,844",2,"1,838",,"1,643",203,929,917,0,0.216684724,6.825568797,13.9219935,15.16793066,0.0,4.929577465,58.93824485,29,0,70,31.1,10270,18539446,377,1851,20.37,Medium Poverty,Non-Title I,3.4,5.0,0.8,89.0
East Rockingham High Rockingham County Public Schools,426,335,737,18,756,5,757,,670,91,400,361,0,0.131406045,0.525624179,2.628120894,9.986859396,0.131406045,6.1760841,80.42049934,49,2,48,35.2,11976,8881301,311,744,41.8,Medium Poverty,Non-Title I,3.3,5.0,3.3,94.9
Eastern Montgomery High Montgomery County Public Schools,132,161,285,,286,7,291,,244,49,142,151,0,0.0,0.341296928,0.0,7.167235495,0.0,2.730375427,89.76109215,32,2,55,54.9,15632,4400616,78,276,28.26,Medium Poverty,Non-Title I,4.8,0.0,0.0,93.1
Eastern View High Culpeper County Public Schools,850,709,"1,392",142,"1,551",8,"1,557",,"1,437",122,769,790,0,0.320718409,1.73187941,14.81719051,26.36305324,0.0,7.504810776,49.26234766,51,2,38,40.6,10016,15406352,659,1532,43.02,Medium Poverty,Non-Title I,11.2,12.7,5.2,84.7
Eastside High Wise County Public Schools,153,231,384,,383,1,357,27,317,67,187,197,0,0.260416667,0.0,1.302083333,1.302083333,0.0,1.5625,95.57291667,48,0,48,52.7,12199,4509219,114,373,30.56,Medium Poverty,Non-Title I,0.0,0.0,0.0,94.1
