Sch_Div,Disadvantaged,Total Count
Deep Creek High Chesapeake City Public Schools,N,847
Deep Creek High Chesapeake City Public Schools,Y,791
Deep Creek Middle Chesapeake City Public Schools,N,422
Deep Creek Middle Chesapeake City Public Schools,Y,380
Deep Run High Henrico County Public Schools,N,"1,811"
Deep Run High Henrico County Public Schools,Y,215
Deer Park Elementary Fairfax County Public Schools,N,397
Deer Park Elementary Fairfax County Public Schools,Y,169
Deer Park Elementary Newport News City Public Schools,N,329
Deer Park Elementary Newport News City Public Schools,Y,204
Denbigh Early Childhood Center Newport News City Public Schools,N,176
Denbigh Early Childhood Center Newport News City Public Schools,Y,206
Denbigh High Newport News City Public Schools,N,427
Denbigh High Newport News City Public Schools,Y,784
Diamond Springs Elementary Virginia Beach City Public Schools,N,152
Diamond Springs Elementary Virginia Beach City Public Schools,Y,375
Dinwiddie County High Dinwiddie County Public Schools,N,512
Dinwiddie County High Dinwiddie County Public Schools,Y,785
Dinwiddie County Middle Dinwiddie County Public Schools,N,63
Dinwiddie County Middle Dinwiddie County Public Schools,Y,872
Dinwiddie Elementary Dinwiddie County Public Schools,N,70
Dinwiddie Elementary Dinwiddie County Public Schools,Y,272
Discovery Elementary Arlington County Public Schools,N,502
Discovery Elementary Arlington County Public Schools,Y,11
Discovery Elementary Loudoun County Public Schools,N,501
Discovery Elementary Loudoun County Public Schools,Y,178
Discovery STEM Academy Newport News City Public Schools,N,127
Discovery STEM Academy Newport News City Public Schools,Y,431
Dogwood Elementary Fairfax County Public Schools,N,167
Dogwood Elementary Fairfax County Public Schools,Y,487
Dominion High Loudoun County Public Schools,N,917
Dominion High Loudoun County Public Schools,Y,565
Dominion Trail Elementary Loudoun County Public Schools,N,361
Dominion Trail Elementary Loudoun County Public Schools,Y,233
Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools,N,597
Donald B. Dixon-Lyle R. Smith Middle Stafford County Public Schools,Y,221
Dorothy Hamm Middle Arlington County Public Schools,N,752
Dorothy Hamm Middle Arlington County Public Schools,Y,173
Douglas Macarthur Elementary Alexandria City Public Schools,N,351
Douglas Macarthur Elementary Alexandria City Public Schools,Y,216
Douglas S. Freeman High Henrico County Public Schools,N,"1,191"
Douglas S. Freeman High Henrico County Public Schools,Y,655
Douglass Park Elementary Portsmouth City Public Schools,N,167
Douglass Park Elementary Portsmouth City Public Schools,Y,409
Dr. Charles R. Drew Elementary Arlington County Public Schools,N,208
Dr. Charles R. Drew Elementary Arlington County Public Schools,Y,245
Dranesville Elementary Fairfax County Public Schools,N,323
Dranesville Elementary Fairfax County Public Schools,Y,294
Drewry Mason Elementary Henry County Public Schools,N,154
Drewry Mason Elementary Henry County Public Schools,Y,254
Dryden Elementary Lee County Public Schools,N,78
Dryden Elementary Lee County Public Schools,Y,173
Dublin Elementary Pulaski County Public Schools,N,242
Dublin Elementary Pulaski County Public Schools,Y,173
Dudley Elementary Franklin County Public Schools,N,144
Dudley Elementary Franklin County Public Schools,Y,85
Dudley Primary Tazewell County Public Schools,N,133
Dudley Primary Tazewell County Public Schools,Y,207
Duffield-Pattonsville Primary Scott County Public Schools,Y,282
Dumbarton Elementary Henrico County Public Schools,N,146
Dumbarton Elementary Henrico County Public Schools,Y,456
Dumfries Elementary Prince William County Public Schools,N,149
Dumfries Elementary Prince William County Public Schools,Y,318
Dungannon Intermediate Scott County Public Schools,Y,68
Dunn Loring Early Childhood Resource Center Fairfax County Public Schools,N,157
Dunn Loring Early Childhood Resource Center Fairfax County Public Schools,Y,25
Dupont Elementary Hopewell City Public Schools,N,212
Dupont Elementary Hopewell City Public Schools,Y,401
E. Wilson Morrison Elementary Warren County Public Schools,N,180
E. Wilson Morrison Elementary Warren County Public Schools,Y,298
E.B. Stanley Middle Washington County Public Schools,N,377
E.B. Stanley Middle Washington County Public Schools,Y,279
E.C. Glass High Lynchburg City Public Schools,N,670
E.C. Glass High Lynchburg City Public Schools,Y,689
E.H. Marsteller Middle Prince William County Public Schools,N,957
E.H. Marsteller Middle Prince William County Public Schools,Y,244
Eagle Ridge Middle Loudoun County Public Schools,N,"1,086"
Eagle Ridge Middle Loudoun County Public Schools,Y,95
Eagle Rock Elementary Botetourt County Public Schools,N,65
Eagle Rock Elementary Botetourt County Public Schools,Y,63
Eagle View Elementary Fairfax County Public Schools,N,400
Eagle View Elementary Fairfax County Public Schools,Y,196
Early Childhood Center Alexandria City Public Schools,N,76
Early Childhood Center Alexandria City Public Schools,Y,103
East Rockingham High Rockingham County Public Schools,N,426
East Rockingham High Rockingham County Public Schools,Y,335
East Salem Elementary Salem City Public Schools,N,196
East Salem Elementary Salem City Public Schools,Y,241
Eastern Elementary/Middle Giles County Public Schools,N,550
Eastern Elementary/Middle Giles County Public Schools,Y,194
Eastern Montgomery Elementary Montgomery County Public Schools,N,131
Eastern Montgomery Elementary Montgomery County Public Schools,Y,267
Eastern Montgomery High Montgomery County Public Schools,N,132
Eastern Montgomery High Montgomery County Public Schools,Y,161
Eastern View High Culpeper County Public Schools,N,850
Eastern View High Culpeper County Public Schools,Y,709
Easton Preschool Norfolk City Public Schools,N,42
Easton Preschool Norfolk City Public Schools,Y,45
Eastside High Wise County Public Schools,N,153
Eastside High Wise County Public Schools,Y,231
Echo Lake Elementary Henrico County Public Schools,N,420
Echo Lake Elementary Henrico County Public Schools,Y,117
Ecoff Elementary Chesterfield County Public Schools,N,381
Ecoff Elementary Chesterfield County Public Schools,Y,359
Edgemont Primary Covington City Public Schools,N,293
Edgemont Primary Covington City Public Schools,Y,22
Edison High Fairfax County Public Schools,N,"1,293"
Edison High Fairfax County Public Schools,Y,899
Edward E. Drew Jr. Middle Stafford County Public Schools,N,388
Edward E. Drew Jr. Middle Stafford County Public Schools,Y,248
Edward G. Clymore Elementary Augusta County Public Schools,N,416
Edward G. Clymore Elementary Augusta County Public Schools,Y,313
Edward W. Wyatt Middle Greensville County Public Schools,N,139
Edward W. Wyatt Middle Greensville County Public Schools,Y,350
Edwin A. Gibson Elementary Danville City Public Schools,N,485
Edwin A. Gibson Elementary Danville City Public Schools,Y,49
Edwin W. Chittum Elementary Chesapeake City Public Schools,N,597
Edwin W. Chittum Elementary Chesapeake City Public Schools,Y,162
Elephant's Fork Elementary Suffolk City Public Schools,N,300
Elephant's Fork Elementary Suffolk City Public Schools,Y,231
Elizabeth D. Redd Elementary Richmond City Public Schools,N,154
Elizabeth D. Redd Elementary Richmond City Public Schools,Y,227
Elizabeth Davis Middle Chesterfield County Public Schools,N,795
Elizabeth Davis Middle Chesterfield County Public Schools,Y,483
Elizabeth Holladay Elementary Henrico County Public Schools,N,264
Elizabeth Holladay Elementary Henrico County Public Schools,Y,514
Elizabeth Scott Elementary Chesterfield County Public Schools,N,407
Elizabeth Scott Elementary Chesterfield County Public Schools,Y,379
Elizabeth Vaughan Elementary Prince William County Public Schools,N,95
Elizabeth Vaughan Elementary Prince William County Public Schools,Y,452
Elk Knob Elementary Lee County Public Schools,N,110
Elk Knob Elementary Lee County Public Schools,Y,180
Elko Middle Henrico County Public Schools,N,240
Elko Middle Henrico County Public Schools,Y,489
Elkton Elementary Rockingham County Public Schools,N,113
Elkton Elementary Rockingham County Public Schools,Y,167
Elkton Middle Rockingham County Public Schools,N,309
Elkton Middle Rockingham County Public Schools,Y,284
Ella J. Fitzgerald Middle Newport News City Public Schools,N,489
Ella J. Fitzgerald Middle Newport News City Public Schools,Y,626
Elmont Elementary Hanover County Public Schools,N,216
Elmont Elementary Hanover County Public Schools,Y,153
Elon Elementary Amherst County Public Schools,N,217
Elon Elementary Amherst County Public Schools,Y,123
Elydale Middle Lee County Public Schools,N,48
Elydale Middle Lee County Public Schools,Y,92
Emerald Hill Elementary Culpeper County Public Schools,N,445
Emerald Hill Elementary Culpeper County Public Schools,Y,242
Emerick Elementary Loudoun County Public Schools,N,364
Emerick Elementary Loudoun County Public Schools,Y,36
Enderly Heights Elementary Buena Vista City Public Schools,N,86
Enderly Heights Elementary Buena Vista City Public Schools,Y,99
Enon Elementary Chesterfield County Public Schools,N,480
Enon Elementary Chesterfield County Public Schools,Y,271
Enterprise Elementary Prince William County Public Schools,N,118
Enterprise Elementary Prince William County Public Schools,Y,275
Ervinton Elementary Dickenson County Public Schools,N,79
Ervinton Elementary Dickenson County Public Schools,Y,64
Escuela Key Elementary Arlington County Public Schools,N,373
Escuela Key Elementary Arlington County Public Schools,Y,252
Essex High Essex County Public Schools,N,186
Essex High Essex County Public Schools,Y,322
Ethel M. Gildersleeve Middle Newport News City Public Schools,N,560
Ethel M. Gildersleeve Middle Newport News City Public Schools,Y,523
Ettrick Elementary Chesterfield County Public Schools,N,156
Ettrick Elementary Chesterfield County Public Schools,Y,334
Eureka Elementary Charlotte County Public Schools,N,195
Eureka Elementary Charlotte County Public Schools,Y,246
Evendale Elementary Frederick County Public Schools,N,244
Evendale Elementary Frederick County Public Schools,Y,265
Evergreen Elementary Chesterfield County Public Schools,N,665
Evergreen Elementary Chesterfield County Public Schools,Y,199
Evergreen Mill Elementary Loudoun County Public Schools,N,428
Evergreen Mill Elementary Loudoun County Public Schools,Y,167
F.W. Kling Jr. Elementary Buena Vista City Public Schools,N,146
F.W. Kling Jr. Elementary Buena Vista City Public Schools,Y,87
Fair Oaks Elementary Henrico County Public Schools,N,85
Fair Oaks Elementary Henrico County Public Schools,Y,312
Fairfax County Adult High Fairfax County Public Schools,N,78
Fairfax County Adult High Fairfax County Public Schools,Y,64
Fairfax High Fairfax County Public Schools,N,"1,592"
Fairfax High Fairfax County Public Schools,Y,716
Fairfax Villa Elementary Fairfax County Public Schools,N,383
Fairfax Villa Elementary Fairfax County Public Schools,Y,131
Fairfield Court Elementary Richmond City Public Schools,N,42
Fairfield Court Elementary Richmond City Public Schools,Y,203
Fairfield Elementary Rockbridge County Public Schools,N,111
Fairfield Elementary Rockbridge County Public Schools,Y,130
Fairfield Elementary Virginia Beach City Public Schools,N,315
Fairfield Elementary Virginia Beach City Public Schools,Y,197
Fairfield Middle Henrico County Public Schools,N,320
Fairfield Middle Henrico County Public Schools,Y,751
Fairhill Elementary Fairfax County Public Schools,N,376
Fairhill Elementary Fairfax County Public Schools,Y,150
Fairview Elementary Fairfax County Public Schools,N,665
Fairview Elementary Fairfax County Public Schools,Y,55
Fairview Elementary Grayson County Public Schools,N,46
Fairview Elementary Grayson County Public Schools,Y,103
Fairview Elementary Roanoke City Public Schools,N,141
Fairview Elementary Roanoke City Public Schools,Y,371
Falling Branch Elementary Montgomery County Public Schools,N,325
Falling Branch Elementary Montgomery County Public Schools,Y,236
Falling Creek Elementary Chesterfield County Public Schools,N,238
Falling Creek Elementary Chesterfield County Public Schools,Y,555
Falling Creek Middle Chesterfield County Public Schools,N,638
Falling Creek Middle Chesterfield County Public Schools,Y,831
Fallon Park Elementary Roanoke City Public Schools,N,166
Fallon Park Elementary Roanoke City Public Schools,Y,400
Falls Church High Fairfax County Public Schools,N,822
Falls Church High Fairfax County Public Schools,Y,"1,166"
Falmouth Elementary Stafford County Public Schools,N,333
Falmouth Elementary Stafford County Public Schools,Y,281
Fancy Gap Elementary Carroll County Public Schools,N,70
Fancy Gap Elementary Carroll County Public Schools,Y,73
Fannie W. Fitzgerald Elementary Prince William County Public Schools,N,382
Fannie W. Fitzgerald Elementary Prince William County Public Schools,Y,520
Farmington Elementary Culpeper County Public Schools,N,165
Farmington Elementary Culpeper County Public Schools,Y,326
Farmwell Station Middle Loudoun County Public Schools,N,804
Farmwell Station Middle Loudoun County Public Schools,Y,312
Fauquier High Fauquier County Public Schools,N,952
Fauquier High Fauquier County Public Schools,Y,274
Featherstone Elementary Prince William County Public Schools,N,111
Featherstone Elementary Prince William County Public Schools,Y,401
Ferdinand T. Day Elementary Alexandria City Public Schools,N,151
Ferdinand T. Day Elementary Alexandria City Public Schools,Y,422
Ferrum Elementary Franklin County Public Schools,N,109
Ferrum Elementary Franklin County Public Schools,Y,106
Ferry Farm Elementary Stafford County Public Schools,N,382
Ferry Farm Elementary Stafford County Public Schools,Y,236
Fieldale-Collinsville Middle Henry County Public Schools,N,287
Fieldale-Collinsville Middle Henry County Public Schools,Y,552
First Colonial High Virginia Beach City Public Schools,N,"1,114"
First Colonial High Virginia Beach City Public Schools,Y,693
Fishburn Park Elementary Roanoke City Public Schools,N,130
Fishburn Park Elementary Roanoke City Public Schools,Y,143
Flat Rock Elementary Powhatan County Public Schools,N,539
Flat Rock Elementary Powhatan County Public Schools,Y,124
Flatwoods Elementary Lee County Public Schools,N,120
Flatwoods Elementary Lee County Public Schools,Y,165
Flint Hill Elementary Fairfax County Public Schools,N,595
Flint Hill Elementary Fairfax County Public Schools,Y,51
Florence Bowser Elementary Suffolk City Public Schools,N,514
Florence Bowser Elementary Suffolk City Public Schools,Y,250
Floris Elementary Fairfax County Public Schools,N,654
Floris Elementary Fairfax County Public Schools,Y,56
Floyd County High Floyd County Public Schools,N,466
Floyd County High Floyd County Public Schools,Y,292
Floyd Elementary Floyd County Public Schools,N,240
Floyd Elementary Floyd County Public Schools,Y,216
Floyd Kellam High Virginia Beach City Public Schools,N,"1,621"
Floyd Kellam High Virginia Beach City Public Schools,Y,286
Floyd T. Binns Middle Culpeper County Public Schools,N,372
Floyd T. Binns Middle Culpeper County Public Schools,Y,464
Fluvanna County High Fluvanna County Public Schools,N,899
Fluvanna County High Fluvanna County Public Schools,Y,554
Fluvanna Middle Fluvanna County Public Schools,N,426
Fluvanna Middle Fluvanna County Public Schools,Y,323
Forest Edge Elementary Fairfax County Public Schools,N,226
Forest Edge Elementary Fairfax County Public Schools,Y,250
Forest Elementary Bedford County Public Schools,N,301
Forest Elementary Bedford County Public Schools,Y,50
Forest Glen Middle Suffolk City Public Schools,N,261
Forest Glen Middle Suffolk City Public Schools,Y,176
Forest Grove Elementary Loudoun County Public Schools,N,175
Forest Grove Elementary Loudoun County Public Schools,Y,326
Forest Hills Elementary Danville City Public Schools,N,165
Forest Hills Elementary Danville City Public Schools,Y,60
Forest Middle Bedford County Public Schools,N,674
Forest Middle Bedford County Public Schools,Y,207
Forest Park High Prince William County Public Schools,N,"1,495"
Forest Park High Prince William County Public Schools,Y,813
Forestdale Elementary Fairfax County Public Schools,N,206
Forestdale Elementary Fairfax County Public Schools,Y,315
Forestville Elementary Fairfax County Public Schools,N,534
Forestville Elementary Fairfax County Public Schools,Y,27
Fort Belvoir Elementary Fairfax County Public Schools,N,582
Fort Belvoir Elementary Fairfax County Public Schools,Y,135
Fort Belvoir Upper Elementary Fairfax County Public Schools,N,518
Fort Belvoir Upper Elementary Fairfax County Public Schools,Y,152
Fort Blackmore Primary Scott County Public Schools,Y,62
Fort Chiswell High Wythe County Public Schools,N,276
Fort Chiswell High Wythe County Public Schools,Y,182
Fort Chiswell Middle Wythe County Public Schools,N,165
Fort Chiswell Middle Wythe County Public Schools,Y,151
Fort Defiance High Augusta County Public Schools,N,457
Fort Defiance High Augusta County Public Schools,Y,269
Fort Hunt Elementary Fairfax County Public Schools,N,354
Fort Hunt Elementary Fairfax County Public Schools,Y,153
Fort Lewis Elementary Roanoke County Public Schools,N,198
Fort Lewis Elementary Roanoke County Public Schools,Y,57
Fox Mill Elementary Fairfax County Public Schools,N,525
Fox Mill Elementary Fairfax County Public Schools,Y,58
Frances Hazel Reid Elementary Loudoun County Public Schools,N,370
Frances Hazel Reid Elementary Loudoun County Public Schools,Y,212
Francis Asbury Elementary Hampton City Public Schools,N,259
Francis Asbury Elementary Hampton City Public Schools,Y,172
Francis C. Hammond Middle Alexandria City Public Schools,N,366
Francis C. Hammond Middle Alexandria City Public Schools,Y,"1,058"
Francis W. Jones Magnet Middle Hampton City Public Schools,N,376
Francis W. Jones Magnet Middle Hampton City Public Schools,Y,259
Franconia Elementary Fairfax County Public Schools,N,396
Franconia Elementary Fairfax County Public Schools,Y,137
Frank W. Cox High Virginia Beach City Public Schools,N,"1,208"
Frank W. Cox High Virginia Beach City Public Schools,Y,512
Franklin County High Franklin County Public Schools,N,"1,198"
Franklin County High Franklin County Public Schools,Y,727
Franklin High Franklin City Public Schools,N,96
Franklin High Franklin City Public Schools,Y,201
Franklin Middle Fairfax County Public Schools,N,704
Franklin Middle Fairfax County Public Schools,Y,176
Franklin Military Academy Richmond City Public Schools,N,139
Franklin Military Academy Richmond City Public Schools,Y,178
Fred M. Lynn Middle Prince William County Public Schools,N,271
Fred M. Lynn Middle Prince William County Public Schools,Y,872
Frederick County Middle Frederick County Public Schools,N,451
Frederick County Middle Frederick County Public Schools,Y,330
Frederick Douglass Elementary Loudoun County Public Schools,N,305
Frederick Douglass Elementary Loudoun County Public Schools,Y,297
Frederick Douglass Elementary Winchester City Public Schools,N,170
Frederick Douglass Elementary Winchester City Public Schools,Y,152
Freedom High Loudoun County Public Schools,N,"1,783"
Freedom High Loudoun County Public Schools,Y,272
Freedom High Prince William County Public Schools,N,597
Freedom High Prince William County Public Schools,Y,"1,596"
Freedom Hill Elementary Fairfax County Public Schools,N,329
Freedom Hill Elementary Fairfax County Public Schools,Y,165
Freedom Middle Spotsylvania County Public Schools,N,439
Freedom Middle Spotsylvania County Public Schools,Y,334
Fries Elementary Grayson County Public Schools,N,87
Fries Elementary Grayson County Public Schools,Y,180
Frost Middle Fairfax County Public Schools,N,"1,033"
Frost Middle Fairfax County Public Schools,Y,180
Fulks Run Elementary Rockingham County Public Schools,N,49
Fulks Run Elementary Rockingham County Public Schools,Y,81
G.A. Treakle Elementary Chesapeake City Public Schools,N,121
G.A. Treakle Elementary Chesapeake City Public Schools,Y,322
G.H. Reid Elementary Richmond City Public Schools,N,287
G.H. Reid Elementary Richmond City Public Schools,Y,363
G.L.H. Johnson Elementary Danville City Public Schools,N,471
G.L.H. Johnson Elementary Danville City Public Schools,Y,45
G.W. Carver Elementary Henry County Public Schools,N,133
G.W. Carver Elementary Henry County Public Schools,Y,320
G.W. Carver Elementary Salem City Public Schools,N,236
G.W. Carver Elementary Salem City Public Schools,Y,212
Gainesboro Elementary Frederick County Public Schools,N,270
Gainesboro Elementary Frederick County Public Schools,Y,172
Gainesville High Prince William County Public Schools,N,"1,065"
Gainesville High Prince William County Public Schools,Y,324
Gainesville Middle Prince William County Public Schools,N,"1,104"
Gainesville Middle Prince William County Public Schools,Y,292
Galax Elementary Galax City Public Schools,N,263
Galax Elementary Galax City Public Schools,Y,400
Galax High Galax City Public Schools,N,170
Galax High Galax City Public Schools,Y,204
Galax Middle Galax City Public Schools,N,122
Galax Middle Galax City Public Schools,Y,196
Galbreath-Marshall Building Culpeper County Public Schools,N,
Galbreath-Marshall Building Culpeper County Public Schools,Y,
Galileo Magnet High Danville City Public Schools,N,241
Galileo Magnet High Danville City Public Schools,Y,10
Gar-Field High Prince William County Public Schools,N,744
Gar-Field High Prince William County Public Schools,Y,"1,769"
Garden City Elementary Roanoke City Public Schools,N,111
Garden City Elementary Roanoke City Public Schools,Y,169
Garfield Elementary Fairfax County Public Schools,N,106
Garfield Elementary Fairfax County Public Schools,Y,215
Garland R. Quarles Elementary Winchester City Public Schools,N,154
Garland R. Quarles Elementary Winchester City Public Schools,Y,212
Garrisonville Elementary Stafford County Public Schools,N,414
Garrisonville Elementary Stafford County Public Schools,Y,141
Gate City High Scott County Public Schools,Y,646
Gate City Middle Scott County Public Schools,Y,329
Gayton Elementary Henrico County Public Schools,N,468
Gayton Elementary Henrico County Public Schools,Y,78
General Stanford Elementary Newport News City Public Schools,N,465
General Stanford Elementary Newport News City Public Schools,Y,25
George Carr Round Elementary Manassas City Public Schools,N,332
George Carr Round Elementary Manassas City Public Schools,Y,213
George F. Baker Elementary Henrico County Public Schools,N,130
George F. Baker Elementary Henrico County Public Schools,Y,277
George G. Tyler Elementary Prince William County Public Schools,N,329
George G. Tyler Elementary Prince William County Public Schools,Y,120
George H. Moody Middle Henrico County Public Schools,N,711
George H. Moody Middle Henrico County Public Schools,Y,386
George J. McIntosh Elementary Newport News City Public Schools,N,118
George J. McIntosh Elementary Newport News City Public Schools,Y,303
George M. Hampton Middle Prince William County Public Schools,N,226
George M. Hampton Middle Prince William County Public Schools,Y,696
George Mason Elementary Alexandria City Public Schools,N,230
George Mason Elementary Alexandria City Public Schools,Y,117
George P. Mullen Elementary Prince William County Public Schools,N,257
George P. Mullen Elementary Prince William County Public Schools,Y,446
George P. Phenix Elementary Hampton City Public Schools,N,883
George P. Phenix Elementary Hampton City Public Schools,Y,557
George W. Carver Elementary Richmond City Public Schools,N,53
George W. Carver Elementary Richmond City Public Schools,Y,325
George W. Carver Intermediate Chesapeake City Public Schools,N,144
George W. Carver Intermediate Chesapeake City Public Schools,Y,367
George W. Watkins Elementary New Kent County Public Schools,N,521
George W. Watkins Elementary New Kent County Public Schools,Y,202
George Washington High Danville City Public Schools,N,"1,185"
George Washington High Danville City Public Schools,Y,190
George Washington Middle Alexandria City Public Schools,N,737
George Washington Middle Alexandria City Public Schools,Y,710
George Wythe High Richmond City Public Schools,N,722
George Wythe High Richmond City Public Schools,Y,576
George Wythe High Wythe County Public Schools,N,229
George Wythe High Wythe County Public Schools,Y,220
Georgetown Primary Chesapeake City Public Schools,N,287
Georgetown Primary Chesapeake City Public Schools,Y,424
Georgie D. Tyler Middle Isle of Wight County Public Schools,N,216
Georgie D. Tyler Middle Isle of Wight County Public Schools,Y,161
Ghent K-8 Norfolk City Public Schools,N,337
Ghent K-8 Norfolk City Public Schools,Y,149
Gilbert Linkous Elementary Montgomery County Public Schools,N,259
Gilbert Linkous Elementary Montgomery County Public Schools,Y,59
Giles High Giles County Public Schools,N,444
Giles High Giles County Public Schools,Y,258
Ginter Park Elementary Richmond City Public Schools,N,40
Ginter Park Elementary Richmond City Public Schools,Y,236
Glade Hill Elementary Franklin County Public Schools,N,113
Glade Hill Elementary Franklin County Public Schools,Y,105
Glade Spring Middle Washington County Public Schools,N,129
Glade Spring Middle Washington County Public Schools,Y,147
Gladesboro Elementary Carroll County Public Schools,N,40
Gladesboro Elementary Carroll County Public Schools,Y,62
Gladeville Elementary Carroll County Public Schools,N,98
Gladeville Elementary Carroll County Public Schools,Y,151
Glasgow Middle Fairfax County Public Schools,N,594
Glasgow Middle Fairfax County Public Schools,Y,"1,245"
Glebe Elementary Arlington County Public Schools,N,465
Glebe Elementary Arlington County Public Schools,Y,74
Glen Allen Elementary Henrico County Public Schools,N,470
Glen Allen Elementary Henrico County Public Schools,Y,116
Glen Allen High Henrico County Public Schools,N,"1,538"
Glen Allen High Henrico County Public Schools,Y,506
Glen Cove Elementary Roanoke County Public Schools,N,263
Glen Cove Elementary Roanoke County Public Schools,Y,144
Glen Forest Elementary Fairfax County Public Schools,N,249
Glen Forest Elementary Fairfax County Public Schools,Y,630
Glen Lea Elementary Henrico County Public Schools,N,62
Glen Lea Elementary Henrico County Public Schools,Y,417
Glenkirk Elementary Prince William County Public Schools,N,566
Glenkirk Elementary Prince William County Public Schools,Y,70
Glenvar Elementary Roanoke County Public Schools,N,221
Glenvar Elementary Roanoke County Public Schools,Y,120
Glenvar High Roanoke County Public Schools,N,449
Glenvar High Roanoke County Public Schools,Y,174
Glenvar Middle Roanoke County Public Schools,N,311
Glenvar Middle Roanoke County Public Schools,Y,129
Glenwood Elementary Virginia Beach City Public Schools,N,557
Glenwood Elementary Virginia Beach City Public Schools,Y,412
Gloucester High Gloucester County Public Schools,N,837
Gloucester High Gloucester County Public Schools,Y,705
Goochland Elementary Goochland County Public Schools,N,275
Goochland Elementary Goochland County Public Schools,Y,87
Goochland High Goochland County Public Schools,N,624
Goochland High Goochland County Public Schools,Y,240
Goochland Middle Goochland County Public Schools,N,432
Goochland Middle Goochland County Public Schools,Y,177
Goodview Elementary Bedford County Public Schools,N,238
Goodview Elementary Bedford County Public Schools,Y,245
Gordon-Barbour Elementary Orange County Public Schools,N,155
Gordon-Barbour Elementary Orange County Public Schools,Y,159
Goshen Post Elementary Loudoun County Public Schools,N,819
Goshen Post Elementary Loudoun County Public Schools,Y,70
Grace E. Metz Middle Manassas City Public Schools,N,616
Grace E. Metz Middle Manassas City Public Schools,Y,499
Grace Miller Elementary Fauquier County Public Schools,N,312
Grace Miller Elementary Fauquier County Public Schools,Y,194
Grafton Bethel Elementary York County Public Schools,N,510
Grafton Bethel Elementary York County Public Schools,Y,121
Grafton High York County Public Schools,N,997
Grafton High York County Public Schools,Y,183
Grafton Middle York County Public Schools,N,709
Grafton Middle York County Public Schools,Y,172
Grafton Village Elementary Stafford County Public Schools,N,551
Grafton Village Elementary Stafford County Public Schools,Y,166
Graham High Tazewell County Public Schools,N,274
Graham High Tazewell County Public Schools,Y,239
Graham Intermediate Tazewell County Public Schools,N,109
Graham Intermediate Tazewell County Public Schools,Y,147
Graham Middle Tazewell County Public Schools,N,174
Graham Middle Tazewell County Public Schools,Y,215
Graham Park Middle Prince William County Public Schools,N,256
Graham Park Middle Prince William County Public Schools,Y,468
Graham Road Elementary Fairfax County Public Schools,N,81
Graham Road Elementary Fairfax County Public Schools,Y,306
Granby Elementary Norfolk City Public Schools,N,174
Granby Elementary Norfolk City Public Schools,Y,322
Granby High Norfolk City Public Schools,N,830
Granby High Norfolk City Public Schools,Y,"1,033"
Grandin Court Elementary Roanoke City Public Schools,N,226
Grandin Court Elementary Roanoke City Public Schools,Y,118
Grange Hall Elementary Chesterfield County Public Schools,N,786
Grange Hall Elementary Chesterfield County Public Schools,Y,100
Grassfield Elementary Chesapeake City Public Schools,N,"1,080"
Grassfield Elementary Chesapeake City Public Schools,Y,203
Grassfield High Chesapeake City Public Schools,N,"1,926"
Grassfield High Chesapeake City Public Schools,Y,368
Grayson County High Grayson County Public Schools,N,197
Grayson County High Grayson County Public Schools,Y,256
Grayson Highlands Grayson County Public Schools,N,67
Grayson Highlands Grayson County Public Schools,Y,71
Great Bridge High Chesapeake City Public Schools,N,"1,236"
Great Bridge High Chesapeake City Public Schools,Y,404
Great Bridge Intermediate Chesapeake City Public Schools,N,534
Great Bridge Intermediate Chesapeake City Public Schools,Y,147
Great Bridge Middle Chesapeake City Public Schools,N,976
Great Bridge Middle Chesapeake City Public Schools,Y,230
Great Bridge Primary Chesapeake City Public Schools,N,538
Great Bridge Primary Chesapeake City Public Schools,Y,126
Great Falls Elementary Fairfax County Public Schools,N,499
Great Falls Elementary Fairfax County Public Schools,Y,26
Great Neck Middle Virginia Beach City Public Schools,N,771
Great Neck Middle Virginia Beach City Public Schools,Y,307
Green Run Collegiate Virginia Beach City Public Schools,N,189
Green Run Collegiate Virginia Beach City Public Schools,Y,211
Green Run Elementary Virginia Beach City Public Schools,N,116
Green Run Elementary Virginia Beach City Public Schools,Y,200
Green Run High Virginia Beach City Public Schools,N,504
Green Run High Virginia Beach City Public Schools,Y,967
Green Valley Elementary Roanoke County Public Schools,N,367
Green Valley Elementary Roanoke County Public Schools,Y,172
Greenbriar East Elementary Fairfax County Public Schools,N,637
Greenbriar East Elementary Fairfax County Public Schools,Y,282
Greenbriar West Elementary Fairfax County Public Schools,N,532
Greenbriar West Elementary Fairfax County Public Schools,Y,103
Greenbrier Elementary Charlottesville City Public Schools,N,179
Greenbrier Elementary Charlottesville City Public Schools,Y,103
Greenbrier Intermediate Chesapeake City Public Schools,N,320
Greenbrier Intermediate Chesapeake City Public Schools,Y,302
Greenbrier Middle Chesapeake City Public Schools,N,444
Greenbrier Middle Chesapeake City Public Schools,Y,402
Greenbrier Primary Chesapeake City Public Schools,N,431
Greenbrier Primary Chesapeake City Public Schools,Y,245
Greendale Elementary Washington County Public Schools,N,175
Greendale Elementary Washington County Public Schools,Y,100
Greenfield Elementary Botetourt County Public Schools,N,317
Greenfield Elementary Botetourt County Public Schools,Y,115
Greenfield Elementary Chesterfield County Public Schools,N,374
Greenfield Elementary Chesterfield County Public Schools,Y,118
Greensville County High Greensville County Public Schools,N,203
