Disabled,Total Count,Sch_Div
Y,59,William Ramsay Elementary Alexandria City Public Schools
N,497,Alleghany High Alleghany County Public Schools
Y,85,Alleghany High Alleghany County Public Schools
N,234,Callaghan Elementary Alleghany County Public Schools
Y,23,Callaghan Elementary Alleghany County Public Schools
N,351,Clifton Middle Alleghany County Public Schools
Y,60,Clifton Middle Alleghany County Public Schools
N,388,Mountain View Elementary Alleghany County Public Schools
Y,82,Mountain View Elementary Alleghany County Public Schools
N,163,Sharon Elementary Alleghany County Public Schools
Y,28,Sharon Elementary Alleghany County Public Schools
N,659,Amelia County Elementary Amelia County Public Schools
Y,82,Amelia County Elementary Amelia County Public Schools
N,427,Amelia County High Amelia County Public Schools
Y,66,Amelia County High Amelia County Public Schools
N,353,Amelia County Middle Amelia County Public Schools
Y,48,Amelia County Middle Amelia County Public Schools
N,370,Amelon Elementary Amherst County Public Schools
Y,64,Amelon Elementary Amherst County Public Schools
N,"1,063",Amherst County High Amherst County Public Schools
Y,154,Amherst County High Amherst County Public Schools
N,203,Amherst Elementary Amherst County Public Schools
Y,30,Amherst Elementary Amherst County Public Schools
N,329,Amherst Middle Amherst County Public Schools
Y,49,Amherst Middle Amherst County Public Schools
N,255,Central Elementary Amherst County Public Schools
Y,77,Central Elementary Amherst County Public Schools
N,294,Elon Elementary Amherst County Public Schools
Y,46,Elon Elementary Amherst County Public Schools
N,333,Madison Heights Elementary Amherst County Public Schools
Y,48,Madison Heights Elementary Amherst County Public Schools
N,484,Monelison Middle Amherst County Public Schools
Y,76,Monelison Middle Amherst County Public Schools
N,84,Temperance Elementary Amherst County Public Schools
Y,11,Temperance Elementary Amherst County Public Schools
N,628,Appomattox County High Appomattox County Public Schools
Y,68,Appomattox County High Appomattox County Public Schools
N,447,Appomattox Elementary Appomattox County Public Schools
Y,54,Appomattox Elementary Appomattox County Public Schools
N,490,Appomattox Middle Appomattox County Public Schools
Y,53,Appomattox Middle Appomattox County Public Schools
N,522,Appomattox Primary Appomattox County Public Schools
Y,76,Appomattox Primary Appomattox County Public Schools
N,624,Abingdon Elementary Arlington County Public Schools
Y,82,Abingdon Elementary Arlington County Public Schools
N,505,Alice West Fleet Elementary Arlington County Public Schools
Y,79,Alice West Fleet Elementary Arlington County Public Schools
N,169,Arlington Community High Arlington County Public Schools
Y,,Arlington Community High Arlington County Public Schools
N,406,Arlington Science Focus School Arlington County Public Schools
Y,50,Arlington Science Focus School Arlington County Public Schools
N,613,Arlington Traditional Arlington County Public Schools
Y,55,Arlington Traditional Arlington County Public Schools
N,472,Ashlawn Elementary Arlington County Public Schools
Y,68,Ashlawn Elementary Arlington County Public Schools
N,382,Barcroft Elementary Arlington County Public Schools
Y,58,Barcroft Elementary Arlington County Public Schools
N,420,Barrett Elementary Arlington County Public Schools
Y,108,Barrett Elementary Arlington County Public Schools
N,362,Campbell Elementary Arlington County Public Schools
Y,64,Campbell Elementary Arlington County Public Schools
N,602,Cardinal Elementary Arlington County Public Schools
Y,56,Cardinal Elementary Arlington County Public Schools
N,459,Carlin Springs Elementary Arlington County Public Schools
Y,85,Carlin Springs Elementary Arlington County Public Schools
N,612,Claremont Immersion Arlington County Public Schools
Y,66,Claremont Immersion Arlington County Public Schools
N,445,Discovery Elementary Arlington County Public Schools
Y,68,Discovery Elementary Arlington County Public Schools
N,799,Dorothy Hamm Middle Arlington County Public Schools
Y,126,Dorothy Hamm Middle Arlington County Public Schools
N,355,Dr. Charles R. Drew Elementary Arlington County Public Schools
Y,98,Dr. Charles R. Drew Elementary Arlington County Public Schools
N,571,Escuela Key Elementary Arlington County Public Schools
Y,54,Escuela Key Elementary Arlington County Public Schools
N,477,Glebe Elementary Arlington County Public Schools
