Disabled,Total Count,Sch_Div
N,921,Jackson Middle Fairfax County Public Schools
Y,177,Jackson Middle Fairfax County Public Schools
N,910,Johnson Middle Fairfax County Public Schools
Y,165,Johnson Middle Fairfax County Public Schools
N,"1,848",Justice High Fairfax County Public Schools
Y,379,Justice High Fairfax County Public Schools
N,672,Keene Mill Elementary Fairfax County Public Schools
Y,81,Keene Mill Elementary Fairfax County Public Schools
N,935,Kent Gardens Elementary Fairfax County Public Schools
Y,89,Kent Gardens Elementary Fairfax County Public Schools
Y,63,Key Center Fairfax County Public Schools
N,597,Key Middle Fairfax County Public Schools
Y,148,Key Middle Fairfax County Public Schools
Y,53,Kilmer Center Fairfax County Public Schools
N,"1,008",Kilmer Middle Fairfax County Public Schools
Y,126,Kilmer Middle Fairfax County Public Schools
N,312,Kings Glen Elementary Fairfax County Public Schools
Y,77,Kings Glen Elementary Fairfax County Public Schools
N,533,Kings Park Elementary Fairfax County Public Schools
Y,84,Kings Park Elementary Fairfax County Public Schools
N,480,Lake Anne Elementary Fairfax County Public Schools
Y,83,Lake Anne Elementary Fairfax County Public Schools
N,"3,740",Lake Braddock Secondary Fairfax County Public Schools
Y,641,Lake Braddock Secondary Fairfax County Public Schools
N,624,Lane Elementary Fairfax County Public Schools
Y,93,Lane Elementary Fairfax County Public Schools
N,"1,871",Langley High Fairfax County Public Schools
Y,178,Langley High Fairfax County Public Schools
N,644,Laurel Hill Elementary Fairfax County Public Schools
Y,72,Laurel Hill Elementary Fairfax County Public Schools
N,642,Laurel Ridge Elementary Fairfax County Public Schools
Y,140,Laurel Ridge Elementary Fairfax County Public Schools
N,524,Lees Corner Elementary Fairfax County Public Schools
Y,94,Lees Corner Elementary Fairfax County Public Schools
N,450,Lemon Road Elementary Fairfax County Public Schools
Y,58,Lemon Road Elementary Fairfax County Public Schools
N,"1,417",Lewis High Fairfax County Public Schools
Y,289,Lewis High Fairfax County Public Schools
N,814,Liberty Middle Fairfax County Public Schools
Y,177,Liberty Middle Fairfax County Public Schools
N,222,Little Run Elementary Fairfax County Public Schools
Y,73,Little Run Elementary Fairfax County Public Schools
N,656,London Towne Elementary Fairfax County Public Schools
Y,110,London Towne Elementary Fairfax County Public Schools
N,"1,125",Longfellow Middle Fairfax County Public Schools
Y,144,Longfellow Middle Fairfax County Public Schools
N,666,Lorton Station Elementary Fairfax County Public Schools
Y,88,Lorton Station Elementary Fairfax County Public Schools
N,499,Lynbrook Elementary Fairfax County Public Schools
Y,91,Lynbrook Elementary Fairfax County Public Schools
N,"1,916",Madison High Fairfax County Public Schools
Y,297,Madison High Fairfax County Public Schools
N,823,Mantua Elementary Fairfax County Public Schools
Y,120,Mantua Elementary Fairfax County Public Schools
N,"1,782",Marshall High Fairfax County Public Schools
Y,291,Marshall High Fairfax County Public Schools
N,558,Marshall Road Elementary Fairfax County Public Schools
Y,107,Marshall Road Elementary Fairfax County Public Schools
N,489,Mason Crest Elementary Fairfax County Public Schools
Y,125,Mason Crest Elementary Fairfax County Public Schools
N,"2,102",McLean High Fairfax County Public Schools
Y,266,McLean High Fairfax County Public Schools
N,476,McNair Elementary Fairfax County Public Schools
Y,75,McNair Elementary Fairfax County Public Schools
N,579,McNair Upper Elementary Fairfax County Public Schools
Y,47,McNair Upper Elementary Fairfax County Public Schools
N,771,Mosaic Elementary Fairfax County Public Schools
Y,126,Mosaic Elementary Fairfax County Public Schools
N,280,Mount Eagle Elementary Fairfax County Public Schools
Y,51,Mount Eagle Elementary Fairfax County Public Schools
N,"1,583",Mount Vernon High Fairfax County Public Schools
Y,385,Mount Vernon High Fairfax County Public Schools
N,509,Mount Vernon Woods Elementary Fairfax County Public Schools
Y,100,Mount Vernon Woods Elementary Fairfax County Public Schools
N,137,Mountain View High Fairfax County Public Schools
Y,17,Mountain View High Fairfax County Public Schools
N,834,Navy Elementary Fairfax County Public Schools
Y,77,Navy Elementary Fairfax County Public Schools
N,458,Newington Forest Elementary Fairfax County Public Schools
Y,82,Newington Forest Elementary Fairfax County Public Schools
N,354,North Springfield Elementary Fairfax County Public Schools
Y,102,North Springfield Elementary Fairfax County Public Schools
N,579,Oak Hill Elementary Fairfax County Public Schools
Y,104,Oak Hill Elementary Fairfax County Public Schools
N,672,Oak View Elementary Fairfax County Public Schools
Y,108,Oak View Elementary Fairfax County Public Schools
N,648,Oakton Elementary Fairfax County Public Schools
Y,101,Oakton Elementary Fairfax County Public Schools
N,"2,351",Oakton High Fairfax County Public Schools
Y,287,Oakton High Fairfax County Public Schools
N,239,Olde Creek Elementary Fairfax County Public Schools
Y,100,Olde Creek Elementary Fairfax County Public Schools
N,807,Orange Hunt Elementary Fairfax County Public Schools
Y,125,Orange Hunt Elementary Fairfax County Public Schools
N,744,Parklawn Elementary Fairfax County Public Schools
Y,70,Parklawn Elementary Fairfax County Public Schools
Y,39,Pimmit Early Childhood Resource Center Fairfax County Public Schools
N,521,Pine Spring Elementary Fairfax County Public Schools
Y,99,Pine Spring Elementary Fairfax County Public Schools
N,694,Poe Middle Fairfax County Public Schools
Y,177,Poe Middle Fairfax County Public Schools
N,558,Poplar Tree Elementary Fairfax County Public Schools
Y,90,Poplar Tree Elementary Fairfax County Public Schools
N,775,Powell Elementary Fairfax County Public Schools
Y,108,Powell Elementary Fairfax County Public Schools
N,789,Providence Elementary Fairfax County Public Schools
Y,111,Providence Elementary Fairfax County Public Schools
N,527,Ravensworth Elementary Fairfax County Public Schools
Y,73,Ravensworth Elementary Fairfax County Public Schools
N,585,Riverside Elementary Fairfax County Public Schools
Y,118,Riverside Elementary Fairfax County Public Schools
N,"3,162",Robinson Secondary Fairfax County Public Schools
Y,537,Robinson Secondary Fairfax County Public Schools
N,936,Rocky Run Middle Fairfax County Public Schools
Y,81,Rocky Run Middle Fairfax County Public Schools
N,495,Rolling Valley Elementary Fairfax County Public Schools
Y,87,Rolling Valley Elementary Fairfax County Public Schools
N,507,Rose Hill Elementary Fairfax County Public Schools
Y,142,Rose Hill Elementary Fairfax County Public Schools
N,"1,295",Sandburg Middle Fairfax County Public Schools
Y,226,Sandburg Middle Fairfax County Public Schools
N,784,Sangster Elementary Fairfax County Public Schools
Y,100,Sangster Elementary Fairfax County Public Schools
N,493,Saratoga Elementary Fairfax County Public Schools
Y,107,Saratoga Elementary Fairfax County Public Schools
N,309,Sherman Elementary Fairfax County Public Schools
Y,41,Sherman Elementary Fairfax County Public Schools
N,583,Shrevewood Elementary Fairfax County Public Schools
Y,96,Shrevewood Elementary Fairfax County Public Schools
N,683,Silverbrook Elementary Fairfax County Public Schools
Y,105,Silverbrook Elementary Fairfax County Public Schools
N,363,Sleepy Hollow Elementary Fairfax County Public Schools
Y,78,Sleepy Hollow Elementary Fairfax County Public Schools
N,"1,968",South County High Fairfax County Public Schools
Y,331,South County High Fairfax County Public Schools
N,829,South County Middle Fairfax County Public Schools
Y,145,South County Middle Fairfax County Public Schools
N,"2,098",South Lakes High Fairfax County Public Schools
Y,486,South Lakes High Fairfax County Public Schools
N,766,Spring Hill Elementary Fairfax County Public Schools
Y,69,Spring Hill Elementary Fairfax County Public Schools
N,516,Springfield Estates Elementary Fairfax County Public Schools
Y,66,Springfield Estates Elementary Fairfax County Public Schools
N,442,Stenwood Elementary Fairfax County Public Schools
Y,85,Stenwood Elementary Fairfax County Public Schools
N,566,Stone Middle Fairfax County Public Schools
Y,134,Stone Middle Fairfax County Public Schools
N,637,Stratford Landing Elementary Fairfax County Public Schools
Y,97,Stratford Landing Elementary Fairfax County Public Schools
N,481,Sunrise Valley Elementary Fairfax County Public Schools
Y,58,Sunrise Valley Elementary Fairfax County Public Schools
N,487,Terra Centre Elementary Fairfax County Public Schools
Y,125,Terra Centre Elementary Fairfax County Public Schools
N,478,Terraset Elementary Fairfax County Public Schools
Y,115,Terraset Elementary Fairfax County Public Schools
N,"1,880",Thomas Jefferson High for Science and Technology Fairfax County Public Schools
Y,24,Thomas Jefferson High for Science and Technology Fairfax County Public Schools
N,"1,007",Thoreau Middle Fairfax County Public Schools
Y,163,Thoreau Middle Fairfax County Public Schools
N,508,Timber Lane Elementary Fairfax County Public Schools
Y,96,Timber Lane Elementary Fairfax County Public Schools
N,871,Twain Middle Fairfax County Public Schools
Y,141,Twain Middle Fairfax County Public Schools
N,765,Union Mill Elementary Fairfax County Public Schools
Y,102,Union Mill Elementary Fairfax County Public Schools
N,290,Vienna Elementary Fairfax County Public Schools
Y,63,Vienna Elementary Fairfax County Public Schools
Y,211,Virginia Hills Early Childhood Resource Center Fairfax County Public Schools
N,585,Virginia Run Elementary Fairfax County Public Schools
Y,95,Virginia Run Elementary Fairfax County Public Schools
N,588,Wakefield Forest Elementary Fairfax County Public Schools
Y,71,Wakefield Forest Elementary Fairfax County Public Schools
N,694,Waples Mill Elementary Fairfax County Public Schools
Y,142,Waples Mill Elementary Fairfax County Public Schools
N,450,Washington Mill Elementary Fairfax County Public Schools
Y,106,Washington Mill Elementary Fairfax County Public Schools
N,578,Waynewood Elementary Fairfax County Public Schools
Y,84,Waynewood Elementary Fairfax County Public Schools
N,"2,261",West Potomac High Fairfax County Public Schools
Y,428,West Potomac High Fairfax County Public Schools
N,476,West Springfield Elementary Fairfax County Public Schools
Y,100,West Springfield Elementary Fairfax County Public Schools
N,"2,203",West Springfield High Fairfax County Public Schools
Y,375,West Springfield High Fairfax County Public Schools
N,720,Westbriar Elementary Fairfax County Public Schools
Y,66,Westbriar Elementary Fairfax County Public Schools
N,"2,231",Westfield High Fairfax County Public Schools
Y,418,Westfield High Fairfax County Public Schools
N,477,Westgate Elementary Fairfax County Public Schools
Y,87,Westgate Elementary Fairfax County Public Schools
N,650,Westlawn Elementary Fairfax County Public Schools
Y,106,Westlawn Elementary Fairfax County Public Schools
N,476,Weyanoke Elementary Fairfax County Public Schools
Y,73,Weyanoke Elementary Fairfax County Public Schools
N,616,White Oaks Elementary Fairfax County Public Schools
Y,103,White Oaks Elementary Fairfax County Public Schools
N,722,Whitman Middle Fairfax County Public Schools
Y,158,Whitman Middle Fairfax County Public Schools
N,803,Willow Springs Elementary Fairfax County Public Schools
Y,109,Willow Springs Elementary Fairfax County Public Schools
N,491,Wolftrap Elementary Fairfax County Public Schools
Y,54,Wolftrap Elementary Fairfax County Public Schools
N,413,Woodburn Elementary Fairfax County Public Schools
Y,66,Woodburn Elementary Fairfax County Public Schools
N,389,Woodlawn Elementary Fairfax County Public Schools
Y,106,Woodlawn Elementary Fairfax County Public Schools
N,415,Woodley Hills Elementary Fairfax County Public Schools
Y,87,Woodley Hills Elementary Fairfax County Public Schools
N,"2,056",Woodson High Fairfax County Public Schools
Y,434,Woodson High Fairfax County Public Schools
N,34,Jessie Thackrey  Preschool Falls Church City Public Schools
Y,20,Jessie Thackrey  Preschool Falls Church City Public Schools
N,513,Mary Ellen Henderson Middle Falls Church City Public Schools
Y,73,Mary Ellen Henderson Middle Falls Church City Public Schools
N,749,Meridian High Falls Church City Public Schools
Y,100,Meridian High Falls Church City Public Schools
N,448,Mount Daniel Elementary Falls Church City Public Schools
Y,38,Mount Daniel Elementary Falls Church City Public Schools
N,468,Oak Street Elementary Falls Church City Public Schools
Y,50,Oak Street Elementary Falls Church City Public Schools
N,510,Auburn Middle Fauquier County Public Schools
Y,76,Auburn Middle Fauquier County Public Schools
N,415,C. Hunter Ritchie Elementary Fauquier County Public Schools
Y,75,C. Hunter Ritchie Elementary Fauquier County Public Schools
N,288,C.M. Bradley Elementary Fauquier County Public Schools
Y,58,C.M. Bradley Elementary Fauquier County Public Schools
N,544,Cedar Lee Middle Fauquier County Public Schools
Y,90,Cedar Lee Middle Fauquier County Public Schools
N,237,Claude Thompson Elementary Fauquier County Public Schools
Y,22,Claude Thompson Elementary Fauquier County Public Schools
N,"1,050",Fauquier High Fauquier County Public Schools
Y,176,Fauquier High Fauquier County Public Schools
N,438,Grace Miller Elementary Fauquier County Public Schools
Y,68,Grace Miller Elementary Fauquier County Public Schools
N,428,Greenville Elementary Fauquier County Public Schools
Y,66,Greenville Elementary Fauquier County Public Schools
N,323,H.M. Pearson Elementary Fauquier County Public Schools
Y,50,H.M. Pearson Elementary Fauquier County Public Schools
N,412,James G. Brumfield Elementary Fauquier County Public Schools
Y,85,James G. Brumfield Elementary Fauquier County Public Schools
N,"1,007",Kettle Run High Fauquier County Public Schools
Y,154,Kettle Run High Fauquier County Public Schools
N,"1,138",Liberty High Fauquier County Public Schools
Y,215,Liberty High Fauquier County Public Schools
N,452,Margaret M. Pierce Elementary Fauquier County Public Schools
Y,71,Margaret M. Pierce Elementary Fauquier County Public Schools
N,364,Marshall Middle Fauquier County Public Schools
Y,67,Marshall Middle Fauquier County Public Schools
N,371,Mary Walter Elementary Fauquier County Public Schools
Y,46,Mary Walter Elementary Fauquier County Public Schools
N,356,P.B. Smith Elementary Fauquier County Public Schools
Y,68,P.B. Smith Elementary Fauquier County Public Schools
N,389,W.C. Taylor Middle Fauquier County Public Schools
Y,66,W.C. Taylor Middle Fauquier County Public Schools
N,268,W.G. Coleman Elementary Fauquier County Public Schools
Y,50,W.G. Coleman Elementary Fauquier County Public Schools
N,333,Warrenton Middle Fauquier County Public Schools
Y,48,Warrenton Middle Fauquier County Public Schools
N,222,Check Elementary Floyd County Public Schools
Y,43,Check Elementary Floyd County Public Schools
N,648,Floyd County High Floyd County Public Schools
Y,110,Floyd County High Floyd County Public Schools
N,360,Floyd Elementary Floyd County Public Schools
Y,96,Floyd Elementary Floyd County Public Schools
N,99,Indian Valley Elementary Floyd County Public Schools
Y,20,Indian Valley Elementary Floyd County Public Schools
N,163,Willis Elementary Floyd County Public Schools
Y,15,Willis Elementary Floyd County Public Schools
N,378,Carysbrook Elementary Fluvanna County Public Schools
Y,71,Carysbrook Elementary Fluvanna County Public Schools
N,358,Central Elementary Fluvanna County Public Schools
Y,52,Central Elementary Fluvanna County Public Schools
N,"1,263",Fluvanna County High Fluvanna County Public Schools
Y,190,Fluvanna County High Fluvanna County Public Schools
N,664,Fluvanna Middle Fluvanna County Public Schools
Y,85,Fluvanna Middle Fluvanna County Public Schools
N,216,West Central Primary Fluvanna County Public Schools
Y,39,West Central Primary Fluvanna County Public Schools
N,249,Franklin High Franklin City Public Schools
Y,48,Franklin High Franklin City Public Schools
N,203,Joseph P. King Jr. Middle Franklin City Public Schools
Y,27,Joseph P. King Jr. Middle Franklin City Public Schools
N,421,S.P. Morton Elementary Franklin City Public Schools
Y,44,S.P. Morton Elementary Franklin City Public Schools
N,"1,228",Benjamin Franklin Middle Franklin County Public Schools
Y,267,Benjamin Franklin Middle Franklin County Public Schools
N,242,Boones Mill Elementary Franklin County Public Schools
Y,35,Boones Mill Elementary Franklin County Public Schools
N,192,Burnt Chimney Elementary Franklin County Public Schools
Y,59,Burnt Chimney Elementary Franklin County Public Schools
N,146,Callaway Elementary Franklin County Public Schools
Y,20,Callaway Elementary Franklin County Public Schools
N,196,Dudley Elementary Franklin County Public Schools
Y,33,Dudley Elementary Franklin County Public Schools
N,177,Ferrum Elementary Franklin County Public Schools
Y,38,Ferrum Elementary Franklin County Public Schools
N,"1,637",Franklin County High Franklin County Public Schools
Y,288,Franklin County High Franklin County Public Schools
N,183,Glade Hill Elementary Franklin County Public Schools
Y,35,Glade Hill Elementary Franklin County Public Schools
N,132,Henry Elementary Franklin County Public Schools
Y,29,Henry Elementary Franklin County Public Schools
N,311,Lee M. Waid Elementary Franklin County Public Schools
Y,75,Lee M. Waid Elementary Franklin County Public Schools
N,215,Rocky Mount Elementary Franklin County Public Schools
Y,75,Rocky Mount Elementary Franklin County Public Schools
N,173,Snow Creek Elementary Franklin County Public Schools
Y,33,Snow Creek Elementary Franklin County Public Schools
N,172,Sontag Elementary Franklin County Public Schools
Y,47,Sontag Elementary Franklin County Public Schools
N,240,Windy Gap Elementary Franklin County Public Schools
Y,42,Windy Gap Elementary Franklin County Public Schools
N,696,Admiral Richard E. Byrd Middle Frederick County Public Schools
Y,110,Admiral Richard E. Byrd Middle Frederick County Public Schools
N,349,Apple Pie Ridge Elementary Frederick County Public Schools
Y,73,Apple Pie Ridge Elementary Frederick County Public Schools
N,554,Armel Elementary Frederick County Public Schools
Y,79,Armel Elementary Frederick County Public Schools
N,516,Bass-Hoover Elementary Frederick County Public Schools
Y,65,Bass-Hoover Elementary Frederick County Public Schools
N,437,Evendale Elementary Frederick County Public Schools
Y,72,Evendale Elementary Frederick County Public Schools
N,679,Frederick County Middle Frederick County Public Schools
Y,102,Frederick County Middle Frederick County Public Schools
N,374,Gainesboro Elementary Frederick County Public Schools
Y,68,Gainesboro Elementary Frederick County Public Schools
N,521,Greenwood Mill Elementary Frederick County Public Schools
Y,73,Greenwood Mill Elementary Frederick County Public Schools
N,343,Indian Hollow Elementary Frederick County Public Schools
Y,48,Indian Hollow Elementary Frederick County Public Schools
N,"1,225",James Wood High Frederick County Public Schools
Y,213,James Wood High Frederick County Public Schools
N,700,James Wood Middle Frederick County Public Schools
Y,118,James Wood Middle Frederick County Public Schools
N,442,Jordan Springs Elementary Frederick County Public Schools
Y,71,Jordan Springs Elementary Frederick County Public Schools
N,497,Middletown Elementary Frederick County Public Schools
Y,73,Middletown Elementary Frederick County Public Schools
N,"1,323",Millbrook High Frederick County Public Schools
Y,199,Millbrook High Frederick County Public Schools
N,390,Orchard View Elementary Frederick County Public Schools
Y,79,Orchard View Elementary Frederick County Public Schools
N,507,Redbud Run Elementary Frederick County Public Schools
Y,68,Redbud Run Elementary Frederick County Public Schools
N,724,Robert E. Aylor Middle Frederick County Public Schools
Y,118,Robert E. Aylor Middle Frederick County Public Schools
N,"1,377",Sherando High Frederick County Public Schools
Y,225,Sherando High Frederick County Public Schools
N,323,Stonewall Elementary Frederick County Public Schools
Y,45,Stonewall Elementary Frederick County Public Schools
N,797,Hugh Mercer Elementary Fredericksburg City Public Schools
Y,76,Hugh Mercer Elementary Fredericksburg City Public Schools
N,914,James Monroe High Fredericksburg City Public Schools
Y,113,James Monroe High Fredericksburg City Public Schools
N,724,Lafayette Elementary Fredericksburg City Public Schools
Y,78,Lafayette Elementary Fredericksburg City Public Schools
N,115,Walker-Grant Early Childhood Center Fredericksburg City Public Schools
Y,25,Walker-Grant Early Childhood Center Fredericksburg City Public Schools
N,655,Walker-Grant Middle Fredericksburg City Public Schools
Y,127,Walker-Grant Middle Fredericksburg City Public Schools
N,577,Galax Elementary Galax City Public Schools
Y,86,Galax Elementary Galax City Public Schools
N,323,Galax High Galax City Public Schools
Y,51,Galax High Galax City Public Schools
N,273,Galax Middle Galax City Public Schools
Y,45,Galax Middle Galax City Public Schools
N,687,Eastern Elementary/Middle Giles County Public Schools
Y,57,Eastern Elementary/Middle Giles County Public Schools
N,612,Giles High Giles County Public Schools
Y,90,Giles High Giles County Public Schools
N,727,Macy Mcclaugherty Elementary/Middle Giles County Public Schools
Y,92,Macy Mcclaugherty Elementary/Middle Giles County Public Schools
N,735,Narrows Elementary/Middle Giles County Public Schools
Y,105,Narrows Elementary/Middle Giles County Public Schools
N,359,Narrows High Giles County Public Schools
Y,67,Narrows High Giles County Public Schools
N,392,Abingdon Elementary Gloucester County Public Schools
Y,63,Abingdon Elementary Gloucester County Public Schools
N,358,Achilles Elementary Gloucester County Public Schools
Y,72,Achilles Elementary Gloucester County Public Schools
N,406,Bethel Elementary Gloucester County Public Schools
Y,89,Bethel Elementary Gloucester County Public Schools
N,481,Botetourt Elementary Gloucester County Public Schools
Y,81,Botetourt Elementary Gloucester County Public Schools
N,"1,330",Gloucester High Gloucester County Public Schools
Y,212,Gloucester High Gloucester County Public Schools
N,519,Page Middle Gloucester County Public Schools
Y,84,Page Middle Gloucester County Public Schools
N,546,Peasley Middle Gloucester County Public Schools
Y,81,Peasley Middle Gloucester County Public Schools
N,287,Petsworth Elementary Gloucester County Public Schools
Y,52,Petsworth Elementary Gloucester County Public Schools
N,260,Byrd Elementary Goochland County Public Schools
Y,40,Byrd Elementary Goochland County Public Schools
N,288,Goochland Elementary Goochland County Public Schools
Y,74,Goochland Elementary Goochland County Public Schools
N,768,Goochland High Goochland County Public Schools
Y,96,Goochland High Goochland County Public Schools
N,528,Goochland Middle Goochland County Public Schools
Y,81,Goochland Middle Goochland County Public Schools
N,412,Randolph Elementary Goochland County Public Schools
Y,49,Randolph Elementary Goochland County Public Schools
N,124,Fairview Elementary Grayson County Public Schools
Y,25,Fairview Elementary Grayson County Public Schools
N,212,Fries Elementary Grayson County Public Schools
Y,55,Fries Elementary Grayson County Public Schools
N,385,Grayson County High Grayson County Public Schools
Y,68,Grayson County High Grayson County Public Schools
N,115,Grayson Highlands Grayson County Public Schools
Y,23,Grayson Highlands Grayson County Public Schools
N,240,Independence Elementary Grayson County Public Schools
Y,32,Independence Elementary Grayson County Public Schools
N,204,Independence Middle Grayson County Public Schools
Y,47,Independence Middle Grayson County Public Schools
N,294,Nathanael Greene Elementary Greene County Public Schools
Y,35,Nathanael Greene Elementary Greene County Public Schools
N,317,Nathanael Greene Primary Greene County Public Schools
Y,56,Nathanael Greene Primary Greene County Public Schools
N,476,Ruckersville Elementary Greene County Public Schools
Y,52,Ruckersville Elementary Greene County Public Schools
N,810,William Monroe High Greene County Public Schools
Y,145,William Monroe High Greene County Public Schools
N,621,William Monroe Middle Greene County Public Schools
Y,91,William Monroe Middle Greene County Public Schools
N,143,Belfield Elementary Greensville County Public Schools
Y,20,Belfield Elementary Greensville County Public Schools
N,415,Edward W. Wyatt Middle Greensville County Public Schools
Y,74,Edward W. Wyatt Middle Greensville County Public Schools
N,515,Greensville County High Greensville County Public Schools
Y,66,Greensville County High Greensville County Public Schools
N,705,Greensville Elementary Greensville County Public Schools
Y,99,Greensville Elementary Greensville County Public Schools
N,120,Clays Mill Elementary Halifax County Public Schools
Y,37,Clays Mill Elementary Halifax County Public Schools
N,443,Cluster Springs Elementary Halifax County Public Schools
Y,79,Cluster Springs Elementary Halifax County Public Schools
N,"1,175",Halifax County High Halifax County Public Schools
Y,255,Halifax County High Halifax County Public Schools
N,850,Halifax County Middle Halifax County Public Schools
Y,172,Halifax County Middle Halifax County Public Schools
N,151,Meadville Elementary Halifax County Public Schools
Y,24,Meadville Elementary Halifax County Public Schools
N,164,Scottsburg Elementary Halifax County Public Schools
Y,50,Scottsburg Elementary Halifax County Public Schools
N,153,Sinai Elementary Halifax County Public Schools
Y,24,Sinai Elementary Halifax County Public Schools
N,498,South Boston Elementary Halifax County Public Schools
Y,112,South Boston Elementary Halifax County Public Schools
N,76,South Boston/Halifax Early Learning Center Halifax County Public Schools
Y,25,South Boston/Halifax Early Learning Center Halifax County Public Schools
N,153,Sydnor Jennings Elementary Halifax County Public Schools
Y,32,Sydnor Jennings Elementary Halifax County Public Schools
N,421,A.W.E. Bassette Elementary Hampton City Public Schools
Y,44,A.W.E. Bassette Elementary Hampton City Public Schools
N,438,Aberdeen Elementary Hampton City Public Schools
Y,61,Aberdeen Elementary Hampton City Public Schools
N,338,Albert W. Patrick III Elementary Hampton City Public Schools
Y,54,Albert W. Patrick III Elementary Hampton City Public Schools
N,472,Alfred S. Forrest Elementary Hampton City Public Schools
Y,35,Alfred S. Forrest Elementary Hampton City Public Schools
N,239,Armstrong Elementary Hampton City Public Schools
Y,27,Armstrong Elementary Hampton City Public Schools
N,311,Barron Elementary Hampton City Public Schools
Y,48,Barron Elementary Hampton City Public Schools
N,808,Benjamin Syms Middle Hampton City Public Schools
Y,165,Benjamin Syms Middle Hampton City Public Schools
N,"1,549",Bethel High Hampton City Public Schools
Y,266,Bethel High Hampton City Public Schools
N,603,C. Alton Lindsay Middle Hampton City Public Schools
Y,124,C. Alton Lindsay Middle Hampton City Public Schools
N,316,Captain John Smith Elementary Hampton City Public Schools
Y,52,Captain John Smith Elementary Hampton City Public Schools
N,593,Cesar Tarrant Middle Hampton City Public Schools
Y,120,Cesar Tarrant Middle Hampton City Public Schools
N,367,Christopher C. Kraft Elementary Hampton City Public Schools
Y,45,Christopher C. Kraft Elementary Hampton City Public Schools
N,375,Francis Asbury Elementary Hampton City Public Schools
Y,56,Francis Asbury Elementary Hampton City Public Schools
N,574,Francis W. Jones Magnet Middle Hampton City Public Schools
Y,61,Francis W. Jones Magnet Middle Hampton City Public Schools
N,"1,262",George P. Phenix Elementary Hampton City Public Schools
Y,178,George P. Phenix Elementary Hampton City Public Schools
N,"1,162",Hampton High Hampton City Public Schools
Y,174,Hampton High Hampton City Public Schools
N,"1,019",Hunter B. Andrews Hampton City Public Schools
Y,107,Hunter B. Andrews Hampton City Public Schools
N,365,Jane H. Bryan Elementary Hampton City Public Schools
Y,49,Jane H. Bryan Elementary Hampton City Public Schools
N,"1,411",Kecoughtan High Hampton City Public Schools
Y,201,Kecoughtan High Hampton City Public Schools
N,408,Luther W. Machen Elementary Hampton City Public Schools
Y,41,Luther W. Machen Elementary Hampton City Public Schools
N,375,Mary S. Peake Elementary Hampton City Public Schools
Y,45,Mary S. Peake Elementary Hampton City Public Schools
N,240,Mary T. Christian Elementary Hampton City Public Schools
Y,26,Mary T. Christian Elementary Hampton City Public Schools
N,273,Mary W. Jackson Elementary Hampton City Public Schools
Y,49,Mary W. Jackson Elementary Hampton City Public Schools
N,210,Moton Early Childhood Center Hampton City Public Schools
Y,21,Moton Early Childhood Center Hampton City Public Schools
N,344,Paul Burbank Elementary Hampton City Public Schools
Y,54,Paul Burbank Elementary Hampton City Public Schools
N,351,Phillips Elementary Hampton City Public Schools
Y,46,Phillips Elementary Hampton City Public Schools
N,"1,049",Phoebus High Hampton City Public Schools
Y,214,Phoebus High Hampton City Public Schools
N,410,Samuel P. Langley Elementary Hampton City Public Schools
Y,65,Samuel P. Langley Elementary Hampton City Public Schools
N,485,Thomas Eaton Middle Hampton City Public Schools
Y,66,Thomas Eaton Middle Hampton City Public Schools
N,323,William Mason Cooper Elementary Hampton City Public Schools
Y,34,William Mason Cooper Elementary Hampton City Public Schools
N,"1,352",Atlee High Hanover County Public Schools
Y,189,Atlee High Hanover County Public Schools
N,322,Battlefield Park Elementary Hanover County Public Schools
Y,72,Battlefield Park Elementary Hanover County Public Schools
N,246,Beaverdam Elementary Hanover County Public Schools
Y,34,Beaverdam Elementary Hanover County Public Schools
N,814,Bell Creek Middle Hanover County Public Schools
Y,163,Bell Creek Middle Hanover County Public Schools
N,967,Chickahominy Middle Hanover County Public Schools
Y,134,Chickahominy Middle Hanover County Public Schools
N,433,Cold Harbor Elementary Hanover County Public Schools
Y,74,Cold Harbor Elementary Hanover County Public Schools
N,636,Cool Spring Elementary Hanover County Public Schools
Y,98,Cool Spring Elementary Hanover County Public Schools
N,307,Elmont Elementary Hanover County Public Schools
Y,62,Elmont Elementary Hanover County Public Schools
N,"1,287",Hanover High Hanover County Public Schools
Y,177,Hanover High Hanover County Public Schools
N,316,Henry Clay Elementary Hanover County Public Schools
Y,50,Henry Clay Elementary Hanover County Public Schools
N,246,John M. Gandy Elementary Hanover County Public Schools
Y,52,John M. Gandy Elementary Hanover County Public Schools
N,610,Kersey Creek Elementary Hanover County Public Schools
Y,91,Kersey Creek Elementary Hanover County Public Schools
N,465,Laurel Meadow Elementary Hanover County Public Schools
Y,81,Laurel Meadow Elementary Hanover County Public Schools
N,827,Liberty Middle Hanover County Public Schools
Y,136,Liberty Middle Hanover County Public Schools
N,439,Mechanicsville Elementary Hanover County Public Schools
Y,110,Mechanicsville Elementary Hanover County Public Schools
N,"1,141",Mechanicsville High Hanover County Public Schools
Y,198,Mechanicsville High Hanover County Public Schools
N,763,Oak Knoll Middle Hanover County Public Schools
Y,125,Oak Knoll Middle Hanover County Public Schools
N,"1,163",Patrick Henry High Hanover County Public Schools
Y,187,Patrick Henry High Hanover County Public Schools
N,499,Pearson's Corner Elementary Hanover County Public Schools
